ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5|チャンク6
11|96.117|What happens if we create a superintelligence that doesn't have humanity's best interests at heart?|もし人類の最善の利益を心に留めていない超知能を作り出してしまったら、何が起こるでしょうか？|What happens^Subject + Verb^core^何が起こるか|if we create^Clause^connector^もし我々が作れば|a superintelligence^Object^core^超知能を|that doesn't have^Relative Clause^modifier^持っていない（考慮しない）|humanity's best interests^Object^core^人類の最善の利益を|at heart?^Idiom^modifier^心に（本心から）
12|102.242|There's a lot of people in government and industry and the military who worry that this race dynamic is actually leading both sides to sort of downplay safety concerns.|政府、産業界、軍の関係者の多くは、この競争の力学が実際には双方に安全性への懸念を軽視させることにつながっているのではないかと懸念しています。|There's a lot of people^Subject + Verb^core^多くの人々がいる|who worry that^Relative Clause^modifier^～と懸念する|this race dynamic^Subject^core^この競争の力学が|is actually leading^Verb^core^実際に導いている|both sides^Object^core^双方を|to downplay safety concerns.^Infinitive^modifier^安全性の懸念を軽視するように
13|119.891|Welcome to The Journal, our show about money, business, and power. I'm Ryan Knudsen.|「ザ・ジャーナル」へようこそ。これはお金、ビジネス、そして権力についての番組です。私はライアン・ヌードセンです。|Welcome to The Journal,^Greeting^connector^ザ・ジャーナルへようこそ|our show^Appositive^modifier^我々の番組|about money, business, and power.^Prepositional Phrase^modifier^金、ビジネス、権力についての|I'm Ryan Knudsen.^Subject + Verb + Complement^core^私はライアン・ヌードセンです||
14|133.123|Coming up on the show, the AI Cold War.|番組の後半では、「AI冷戦」についてお伝えします。|Coming up on the show,^Participle Phrase^connector^番組の後半では|the AI Cold War.^Noun Phrase^core^AI冷戦||||
15|240.93|In 2017, Beijing announced that it planned to lead the world in AI by 2030.|2017年、中国政府は2030年までにAIで世界をリードする計画を発表しました。|In 2017,^Prepositional Phrase^modifier^2017年に|Beijing announced that^Subject + Verb^core^北京は発表した|it planned to lead^Verb^core^リードすることを計画していると|the world^Object^core^世界を|in AI^Prepositional Phrase^modifier^AIにおいて|by 2030.^Prepositional Phrase^modifier^2030年までに
16|247.099|But back then, the country was focused on a specific aspect of AI, something called computer vision.|しかし当時、この国はAIの特定の側面、つまり「コンピュータビジョン」と呼ばれるものに焦点を当てていました。|But back then,^Conjunction Phrase^connector^しかし当時は|the country^Subject^core^その国（中国）は|was focused^Verb^core^焦点を当てていた|on a specific aspect of AI,^Prepositional Phrase^modifier^AIの特定の側面に|something called computer vision.^Appositive^modifier^コンピュータビジョンと呼ばれるものに|
17|253.099|So computer vision basically is exactly what it sounds like. It's a technique in which machines teach themselves how to recognize objects.|コンピュータビジョンは、基本的にはその名の通りのものです。これは機械が物体を認識する方法を自ら学習する技術です。|So computer vision^Subject^core^コンピュータビジョンは|is exactly^Verb^core^まさに～である|what it sounds like.^Clause^core^その名の通りのもの|It's a technique^Subject + Verb + Complement^core^それは技術である|in which machines teach themselves^Clause^modifier^機械が自ら学習する|how to recognize objects.^Infinitive^modifier^物体を認識する方法を
18|267.252|It is what's being used like when your phone is like categorizing your photos for you. That's computer vision.|それは、スマホが写真を自動的に分類してくれる時などに使われているものです。それがコンピュータビジョンです。|It is^Subject + Verb^core^それは～である|what's being used^Clause^core^使われているもの|when your phone is categorizing^Clause^modifier^スマホが分類している時に|your photos for you.^Object^core^あなたの写真を|That's computer vision.^Subject + Verb + Complement^core^それがコンピュータビジョンです|
19|278.178|Why was Beijing investing so much in facial recognition technology?|なぜ中国政府は顔認識技術にこれほど多額の投資をしていたのでしょうか？|Why was Beijing investing^Subject + Verb^core^なぜ北京は投資していたのか|so much^Adverb^modifier^それほど多額を|in facial recognition technology?^Prepositional Phrase^modifier^顔認識技術に|||
20|280.007|That's an area that China, because it has this huge surveillance state, was really interested in because it's just a much faster way to track down people of interest.|それは、巨大な監視国家を持つ中国が非常に関心を持っていた分野です。なぜなら、それは重要人物を追跡するための遥かに速い方法だからです。|That's an area^Subject + Verb + Complement^core^それは～な分野だ|that China was interested in^Relative Clause^modifier^中国が関心を持っていた|because it has^Clause^modifier^～を持っているから|this huge surveillance state,^Object^core^この巨大な監視国家を|because it's a faster way^Clause^modifier^それはより速い方法だから|to track down people.^Infinitive^modifier^人々を追跡するための
21|293.834|But in November of 2022, The U.S. jumped ahead. When OpenAI released ChatGPT.|しかし2022年11月、米国が一歩リードしました。OpenAIがChatGPTを公開した時のことです。|But in November of 2022,^Prepositional Phrase^connector^しかし2022年11月に|The U.S.^Subject^core^米国は|jumped ahead.^Verb^core^一歩リードした|When OpenAI released ChatGPT.^Clause^modifier^OpenAIがChatGPTを公開した時||
22|300.838|The AI landscape as we know it was rocked and forever changed, I think you can say, by a single chatbot.|私たちが知るAIの風景は、たった一つのチャットボットによって揺るがされ、永遠に変わってしまったと言えるでしょう。|The AI landscape^Subject^core^AIの風景は|was rocked and changed,^Verb^core^揺るがされ、変えられた|by a single chatbot.^Prepositional Phrase^modifier^たった一つのチャットボットによって|I think you can say,^Parenthetical^connector^～と言えると思う||
23|310.848|Essays, philosophical questions, even therapy. ChatGPT is a computer program that will write whatever you want quickly and convincingly.|エッセイ、哲学的な問い、さらにはセラピーまで。ChatGPTは、あなたが望むものを何でも素早く、説得力を持って書いてくれるコンピュータプログラムです。|Essays, philosophical questions...^Noun Phrase^core^エッセイ、哲学的な問いなど|ChatGPT is a computer program^Subject + Verb + Complement^core^ChatGPTはプログラムだ|that will write^Relative Clause^modifier^書いてくれる|whatever you want^Object^core^あなたが望む何でも|quickly and convincingly.^Adverb^modifier^素早く説得力を持って|
24|320.793|ChatGPT is a large language model, or LLM, that has much broader applications than computer vision.|ChatGPTは大規模言語モデル（LLM）であり、コンピュータビジョンよりもはるかに広い用途を持っています。|ChatGPT is^Subject + Verb^core^ChatGPTは～だ|a large language model,^Complement^core^大規模言語モデル|that has^Relative Clause^modifier^持っている|much broader applications^Object^core^はるかに広い用途を|than computer vision.^Prepositional Phrase^modifier^コンピュータビジョンよりも|
25|327.185|And since then, U.S. companies have been pouring tens of billions of dollars into AI development, and specifically into LLMs.|それ以来、米国企業はAI開発、特にLLMに数兆円規模（数百億ドル）の資金を注ぎ込んできました。|And since then,^Prepositional Phrase^connector^それ以来|U.S. companies^Subject^core^米国企業は|have been pouring^Verb^core^注ぎ込んでいる|tens of billions of dollars^Object^core^数百億ドルを|into AI development,^Prepositional Phrase^modifier^AI開発に|specifically into LLMs.^Prepositional Phrase^modifier^特にLLMに
26|337.593|After OpenAI launched ChatGPT, Google started promoting its model. Facebook launched Llama. Anthropic came out with Claude.|OpenAIがChatGPTを立ち上げた後、Googleは自社のモデルを推進し始め、FacebookはLlamaを、AnthropicはClaudeを発表しました。|After OpenAI launched ChatGPT,^Clause^modifier^OpenAIがChatGPTを立ち上げた後|Google started promoting^Subject + Verb^core^Googleは推進し始めた|its model.^Object^core^そのモデルを|Facebook launched Llama.^Subject + Verb + Object^core^FacebookはLlamaを立ち上げた|Anthropic came out with Claude.^Subject + Verb + Object^core^AnthropicはClaudeを出した
27|346.305|It was basically all American companies across the board. There were really no major competitors anywhere else.|基本的には全面的に米国企業ばかりでした。他には主要な競争相手は本当にいませんでした。|It was basically^Subject + Verb^core^それは基本的には～だった|all American companies^Complement^core^全て米国企業|across the board.^Idiom^modifier^全面的に|There were^Verb^core^いなかった|no major competitors^Subject^core^主要な競争相手は|anywhere else.^Adverb^modifier^他のどこにも
28|352.819|When the Soviet Union launched the Sputnik satellite in the 1950s, it jolted the US to speed up its own work on the space race.|1950年代にソ連がスプートニク衛星を打ち上げた際、それは米国に衝撃を与え、宇宙開発競争への取り組みを加速させました。|When the Soviet Union launched^Clause^connector^ソ連が打ち上げた時|the Sputnik satellite^Object^core^スプートニク衛星を|it jolted the US^Subject + Verb + Object^core^それは米国に衝撃を与えた|to speed up^Infinitive^modifier^加速させるように|its own work^Object^core^自国の取り組みを|on the space race.^Prepositional Phrase^modifier^宇宙開発競争での
29|359.915|And the debut of ChatGPT was a similar wake-up call for China.|そしてChatGPTのデビューは、中国にとって同様の「警鐘（ウェイクアップ・コール）」となりました。|And the debut of ChatGPT^Subject^core^そしてChatGPTのデビューは|was^Verb^core^～だった|a similar wake-up call^Complement^core^同様の警鐘|for China.^Prepositional Phrase^modifier^中国にとって||
30|364.16|That's when top Communist Party officials really started to ramp up pressure on Chinese tech companies to do more.|その時こそ、共産党の最高幹部たちが中国のハイテク企業に対し、もっとやるようにと圧力を強め始めたのです。|That's when^Time^connector^その時だ|top officials^Subject^core^最高幹部たちが|started to ramp up pressure^Verb^core^圧力を強め始めた|on Chinese tech companies^Prepositional Phrase^modifier^中国のハイテク企業に|to do more.^Infinitive^modifier^もっとやるように|
31|370.567|One major AI company told us that it received calls from 10 different government agencies in the space of a month as the Communist Party was trying to catch up.|ある大手AI企業によると、共産党が追いつこうとする中で、1ヶ月の間に10の異なる政府機関から電話を受けたそうです。|One major AI company told us^Subject + Verb^core^ある大手AI企業は我々に語った|that it received calls^Clause^core^電話を受けたと|from 10 government agencies^Prepositional Phrase^modifier^10の政府機関から|as the Party was trying to catch up.^Clause^modifier^党が追いつこうとする中で|
32|380.574|Saying what? Like, get to work on AI, please? Yeah, basically.|何て言ってきたんですか？「AIに取り組んでください」みたいな？ ええ、基本的には。|Saying what?^Question^core^何て言ってきた？|Like, get to work on AI?^Phrase^modifier^AIに取り組めとか？|Yeah, basically.^Response^connector^ええ、基本的には||
33|389.16|Beijing's strategy is to throw everything it has at the problem.|中国政府の戦略は、持てるすべてをその問題に投入することです。|Beijing's strategy^Subject^core^北京の戦略は|is^Verb^core^～である|to throw^Infinitive^core^投入すること|everything it has^Object^core^持てるすべてを|at the problem.^Prepositional Phrase^modifier^その問題に|
34|393.625|That includes promoting AI in schools and at private companies, and offering generous subsidies to industries that power AI development.|それには、学校や民間企業でのAI推進や、AI開発を支える産業への手厚い補助金の提供が含まれます。|That includes^Subject + Verb^core^それは含んでいる|promoting AI^Gerund^core^AIを推進することを|in schools and companies,^Prepositional Phrase^modifier^学校や企業で|and offering generous subsidies^Gerund^core^そして手厚い補助金を提供することを|to industries...^Prepositional Phrase^modifier^産業へ|
35|403.788|So it's building computing clusters in these remote places with lots of cheap renewable energy, like Inner Mongolia.|内モンゴルのような、安価な再生可能エネルギーが豊富な遠隔地にコンピューティングクラスターを建設しています。|It's building^Subject + Verb^core^それは建設している|computing clusters^Object^core^計算クラスターを|in remote places^Prepositional Phrase^modifier^遠隔地に|with cheap renewable energy,^Prepositional Phrase^modifier^安価な再エネがある|like Inner Mongolia.^Prepositional Phrase^modifier^内モンゴルのような|
36|410.663|It eventually wants to connect hundreds of data centers nationwide into what it calls a national cloud.|最終的には、全国の何百ものデータセンターを接続し、いわゆる「国家クラウド」にしたいと考えています。|It eventually wants to connect^Subject + Verb^core^最終的には接続したい|hundreds of data centers^Object^core^何百ものデータセンターを|into a national cloud.^Prepositional Phrase^modifier^国家クラウドへ|||
37|418.137|It's putting like billions of dollars into expanding its power grid.|送電網の拡張に数十億ドル（数千億円）規模の投資を行っています。|It's putting^Subject + Verb^core^それは投じている|billions of dollars^Object^core^数十億ドルを|into expanding^Prepositional Phrase^modifier^拡張することに|its power grid.^Object^core^送電網を||
38|422.598|Beijing has also been mobilizing local governments, which act essentially as the Communist Party's middle management.|北京は地方政府も動員しています。地方政府は本質的に共産党の中間管理職として機能しています。|Beijing has been mobilizing^Subject + Verb^core^北京は動員している|local governments,^Object^core^地方政府を|which act^Relative Clause^modifier^（それらは）機能する|as middle management.^Prepositional Phrase^modifier^中間管理職として||
39|439.394|This isn't the first time China has done something like this. When the country wanted to accelerate development of electric vehicles and renewable energy, it adopted a similar strategy.|中国がこのようなことをするのは初めてではありません。電気自動車（EV）や再生可能エネルギーの開発を加速させたい時にも、同様の戦略を採用しました。|This isn't the first time^Subject + Verb + Complement^core^これは初めてではない|China has done something like this.^Clause^modifier^中国がこういうことをしたのは|When the country wanted to accelerate EV...^Clause^modifier^EV等を加速させたい時に|it adopted^Subject + Verb^core^それは採用した|a similar strategy.^Object^core^同様の戦略を|
40|449.274|I mean, a lot of economists will say there's a ton of waste in this approach.|多くの経済学者は、このアプローチには多くの無駄があると言うでしょう。|A lot of economists will say^Subject + Verb^core^多くの経済学者は言うだろう|there's a ton of waste^Clause^core^大量の無駄があると|in this approach.^Prepositional Phrase^modifier^このアプローチには|||
41|461.314|But in some industries like EVs, it does have the ultimate effect of making China very competitive, and making it really hard for companies from other countries to compete.|しかしEVのようないくつかの産業では、最終的に中国の競争力を高め、他国の企業が競争するのを非常に困難にするという効果をもたらします。|But in some industries^Prepositional Phrase^connector^しかしある産業では|it does have the ultimate effect^Subject + Verb + Object^core^それは最終的な効果を持つ|of making China competitive,^Gerund Phrase^modifier^中国を競争的にするという|and making it hard^Gerund Phrase^modifier^そして困難にするという|for others to compete.^Infinitive^modifier^他者が競争するのを|
42|481.831|And earlier this year, finally, there was a breakthrough. A new China-based artificial intelligence startup is shaking up an industry known for its rapid innovation.|そして今年初め、ついに突破口が開かれました。中国を拠点とする新しいAIスタートアップが、急速なイノベーションで知られる業界を揺るがしています。|And earlier this year,^Prepositional Phrase^connector^そして今年初め|there was a breakthrough.^Subject + Verb^core^突破口があった|A new China-based AI startup^Subject^core^中国拠点の新しいAIスタートアップが|is shaking up^Verb^core^揺るがしている|an industry^Object^core^業界を|known for innovation.^Participle Phrase^modifier^革新で知られる
43|492.36|It's called DeepSeek.|それはDeepSeekと呼ばれています。|It's called^Subject + Verb^core^それは～と呼ばれる|DeepSeek.^Complement^core^DeepSeekと||||
44|492.98|DeepSeek, the Chinese artificial intelligence upstart that rattled the American AI industry and the markets this week.|今週、アメリカのAI業界と市場を震撼させた中国のAI新興企業、DeepSeekです。|DeepSeek,^Noun^core^DeepSeek|the Chinese AI upstart^Appositive^core^中国のAI新興企業|that rattled^Relative Clause^modifier^震撼させた|the American AI industry^Object^core^米国のAI業界を|and the markets.^Object^core^そして市場を|
45|508.36|A Chinese startup named DeepSeek released a large language model. It managed to build this model that was basically almost as good as the best model that OpenAI had at the time.|DeepSeekという名の中国のスタートアップが大規模言語モデルをリリースしました。彼らは、当時OpenAIが持っていた最高のモデルとほぼ同等のモデルを構築することに成功したのです。|A Chinese startup^Subject^core^中国のスタートアップが|released^Verb^core^リリースした|a large language model.^Object^core^大規模言語モデルを|It managed to build^Subject + Verb^core^構築することに成功した|this model^Object^core^このモデルを|that was almost as good as OpenAI's.^Relative Clause^modifier^OpenAIのものとほぼ同等の
46|522.149|DeepSeek hadn't initially benefited much from China's centralized AI efforts. It had largely been bankrolled by its founder's hedge fund.|DeepSeekは当初、中国の集中的なAI支援の恩恵をあまり受けていませんでした。主に創業者のヘッジファンドから資金提供を受けていました。|DeepSeek hadn't benefited much^Subject + Verb^core^DeepSeekはあまり恩恵を受けていなかった|from China's AI efforts.^Prepositional Phrase^modifier^中国のAIの取り組みから|It had been bankrolled^Verb^core^それは資金提供されていた|by its founder's hedge fund.^Prepositional Phrase^modifier^創業者のヘッジファンドによって||
47|527.102|Still, what was notable about DeepSeek was that it managed to build a model using much less computing power and a fraction of the money compared with OpenAI.|それでもDeepSeekについて注目すべきは、OpenAIと比較して、はるかに少ない計算能力と数分の一の資金でモデルを構築できたことです。|What was notable^Subject Clause^core^注目すべきことは|was that^Verb + Conj^core^～ということだった|it managed to build a model^Clause^core^モデル構築に成功したこと|using much less computing power^Participle Phrase^modifier^はるかに少ない計算能力を使って|and a fraction of the money^Noun Phrase^modifier^そして数分の一の資金で|compared with OpenAI.^Participle Phrase^modifier^OpenAIと比較して
48|537.37|The bottom line is they sort of figured out how to engineer chips and algorithms in a way that just massively improved the efficiency of training a large language model.|結論として、彼らは大規模言語モデルのトレーニング効率を劇的に向上させる方法で、チップとアルゴリズムを設計する方法を見つけ出したということです。|The bottom line is^Subject + Verb^connector^結論は～だ|they figured out^Verb^core^彼らは見つけ出した|how to engineer chips^Infinitive^core^チップを設計する方法を|in a way that improved efficiency.^Prepositional Phrase^modifier^効率を向上させる方法で||
49|552.961|Mark Andreessen, who's arguably Silicon Valley's most visible venture capitalist, comes out and calls it one of the most impressive accomplishments he's ever seen.|シリコンバレーで最も著名なベンチャーキャピタリストと言えるマーク・アンドリーセンは、これを彼が見た中で最も印象的な成果の一つだと評しています。|Mark Andreessen^Subject^core^マーク・アンドリーセンは|calls it^Verb^core^それを～と呼ぶ|one of the most impressive accomplishments.^Object^core^最も印象的な成果の一つ|he's ever seen.^Relative Clause^modifier^彼がこれまでに見た中で||
50|563.812|In the aftermath of DeepSeek, U.S. investors freaked out. The Nasdaq lost 3% of its value.|DeepSeekの余波で、米国の投資家はパニックに陥りました。ナスダックはその価値の3％を失いました。|In the aftermath of DeepSeek,^Prepositional Phrase^connector^DeepSeekの余波で|U.S. investors freaked out.^Subject + Verb^core^米国の投資家はパニックになった|The Nasdaq lost^Subject + Verb^core^ナスダックは失った|3% of its value.^Object^core^価値の3%を||
51|575.696|What did the DeepSeek moment say about the status of the AI race between the U.S. and China?|DeepSeekの瞬間は、米中間のAI競争の現状について何を物語っていたのでしょうか？|What did the DeepSeek moment say^Subject + Verb^core^DeepSeekの瞬間は何を語ったか|about the status of the AI race?^Prepositional Phrase^modifier^AI競争の現状について|||
52|580.711|After DeepSeek, to a lot of people, the gap had closed, almost closed completely. Some people even went so far as to say China was on the verge of pulling ahead.|DeepSeekの後、多くの人にとって格差は縮まり、ほぼ完全に閉じたように見えました。中国が追い抜く寸前だと言う人さえいました。|After DeepSeek,^Prepositional Phrase^connector^DeepSeekの後|the gap had closed.^Subject + Verb^core^差は縮まった|Some people said^Subject + Verb^core^言う人もいた|China was on the verge^Clause^core^中国は寸前だと|of pulling ahead.^Gerund^modifier^追い抜くことの|
53|594.884|Now that it's developed a proven model, China has put state power and support behind DeepSeek.|実績のあるモデルを開発した今、中国はDeepSeekに国家権力と支援を注ぎ込んでいます。|Now that^Conjunction^connector^今や～なので|it's developed a proven model,^Clause^modifier^実績あるモデルを開発したので|China has put^Subject + Verb^core^中国は置いた（注ぎ込んだ）|state power and support^Object^core^国家権力と支援を|behind DeepSeek.^Prepositional Phrase^modifier^DeepSeekの後ろに（支援して）|
54|602.384|Does China have everything it needs now to get ahead in the AI race?|中国は今、AI競争で優位に立つために必要なものをすべて持っているのでしょうか？|Does China have^Subject + Verb^core^中国は持っているか|everything it needs^Object^core^必要なすべてを|to get ahead^Infinitive^modifier^優位に立つために|in the AI race?^Prepositional Phrase^modifier^AI競争において||
55|608.168|China has a lot of what it needs. I mean, it has tons of engineering talent. AI relies a lot on data, and China has huge amounts of that.|中国は必要なものの多くを持っています。つまり、多くの優秀なエンジニアがいます。AIはデータに大きく依存しますが、中国にはそれが膨大にあります。|China has a lot of what it needs.^Subject + Verb + Object^core^中国は必要なものの多くを持つ|It has tons of engineering talent.^Subject + Verb + Object^core^多数のエンジニアの才能がある|AI relies on data,^Subject + Verb + Object^core^AIはデータに依存する|and China has huge amounts.^Subject + Verb + Object^core^そして中国は膨大な量を持っている|
56|624.34|But the one thing it really doesn't have is chips. What China is trying to do about computer chips is next.|しかし、中国が本当に持っていない唯一のものはチップ（半導体）です。中国がチップについて何をしようとしているのか、次はそれについてです。|But the one thing it doesn't have^Subject Clause^core^持っていない唯一のものは|is chips.^Verb + Complement^core^チップである|What China is trying to do^Subject Clause^core^中国がしようとしていること|is next.^Verb + Complement^core^次はそれだ|
57|706.345|Advanced computer chips are the secret sauce when it comes to the U.S.'s lead in AI development.|高度なコンピュータチップは、米国のAI開発におけるリードに関して言えば「秘伝のタレ（重要な要素）」です。|Advanced computer chips^Subject^core^高度なチップは|are the secret sauce^Complement^core^秘伝のタレだ|when it comes to the U.S.'s lead.^Idiom^modifier^米国のリードに関して言えば|||
58|711.211|So the best models were trained on huge numbers of very expensive cutting-edge chips. American companies made the best chips.|最高のモデルは、膨大な数の非常に高価な最先端チップでトレーニングされました。米国企業が最高のチップを作っていました。|The best models were trained^Subject + Verb^core^最高のモデルは訓練された|on huge numbers of chips.^Prepositional Phrase^modifier^膨大な数のチップで|American companies made^Subject + Verb^core^米国企業が作った|the best chips.^Object^core^最高のチップを||
59|725.11|Back in 2022, the U.S. decided to cut China off from those advanced chips. The government restricted exports, hoping to hobble China's ability to catch up.|2022年に遡ると、米国は中国をそれらの高度なチップから遮断することを決定しました。政府は輸出を制限し、中国が追いつく能力を妨害しようとしました。|The U.S. decided to cut China off^Subject + Verb^core^米国は中国を遮断すると決めた|from advanced chips.^Prepositional Phrase^modifier^高度なチップから|The government restricted exports,^Subject + Verb + Object^core^政府は輸出を制限した|hoping to hobble China's ability.^Participle Phrase^modifier^中国の能力を妨害することを望んで|
60|739.767|So what is China doing about the chips problem? The biggest burden for all of this falls on one company, which is Huawei.|では、中国はチップ問題に対して何をしているのでしょうか？このすべての最大の負担は、ある一つの企業、Huaweiにかかっています。|What is China doing^Subject + Verb^core^中国は何をしているか|about the chips problem?^Prepositional Phrase^modifier^チップ問題について|The biggest burden falls^Subject + Verb^core^最大の負担はかかる|on one company,^Prepositional Phrase^modifier^一つの企業に|which is Huawei.^Relative Clause^modifier^それはHuaweiだ
61|756.438|Huawei is a giant Chinese tech company that makes things like smartphones. It also makes the best chips among Chinese companies.|Huaweiはスマートフォンなどを作る中国の巨大テック企業です。また、中国企業の中で最高のチップも製造しています。|Huawei is a giant tech company^Subject + Verb + Complement^core^Huaweiは巨大テック企業だ|that makes smartphones.^Relative Clause^modifier^スマホを作る|It also makes the best chips.^Subject + Verb + Object^core^それは最高のチップも作る||
62|762.341|And Huawei has a plan. What Huawei is doing is trying to link together as many as a million of its chips to produce similar levels of computing power.|Huaweiには計画があります。Huaweiがやろうとしているのは、最大100万個もの自社チップを連結し、同等の計算能力を生み出すことです。|Huawei has a plan.^Subject + Verb + Object^core^Huaweiには計画がある|What Huawei is doing^Subject Clause^core^Huaweiがしていることは|is trying to link together^Verb^core^連結しようとすることだ|a million of its chips^Object^core^100万個のチップを|to produce similar power.^Infinitive^modifier^同等の力を生むために
63|773.563|Which is a strategy that some industry in China refer to as swarms to beat the titan.|これは中国の一部の業界で「巨人を倒すための群れ（スワーム）」と呼ばれている戦略です。|Which is a strategy^Subject + Verb + Complement^core^それは戦略である|that some refer to^Relative Clause^modifier^一部の人が～と呼ぶ|as swarms to beat the titan.^Prepositional Phrase^modifier^巨人を倒すための群れとして||
64|783.451|Basically just like mass produces many lower quality chips, stitch them all together and that'll compete with the big ones the U.S. has.|基本的には、低品質なチップを大量生産し、それらをすべて縫い合わせるように繋げ、米国が持つ大きなチップに対抗しようというものです。|Basically mass produces^Verb^core^基本的に大量生産する|many lower quality chips,^Object^core^多くの低品質チップを|stitch them all together^Verb^core^それらを全て繋ぎ合わせる|and that'll compete^Clause^connector^そうすれば対抗できる|with the big ones.^Prepositional Phrase^modifier^大きなものと
65|789.653|Yeah, I think it's a strategy that China applies in a lot of ways. It's just trying to take advantage of its capacity to produce relatively good quality things in huge quantities.|ええ、これは中国が多くの場面で適用する戦略だと思います。比較的良質なものを大量に生産できる能力を利用しようとしているだけです。|It's a strategy^Subject + Verb + Complement^core^それは戦略だ|that China applies.^Relative Clause^modifier^中国が適用する|It's trying to take advantage of^Verb^core^利用しようとしている|its capacity to produce.^Object^core^生産能力を|
