ID|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4
23 | I've just set up my own practice as a lawyer. | 弁護士として自分の事務所を立ち上げたばかりです。 | I've just set up^S+Aux+V^core^私は立ち上げたばかりだ | my own practice^Object^core^自分の事務所（開業）を | as a lawyer.^Preposition^modifier^弁護士として|
24 | Thorough. Thorough. | 徹底的な。徹底的な。（発音練習） | Thorough.^Adjective^core^徹底的な | Thorough.^Adjective^core^徹底的な||
25 | Extend one's thanks to somebody. | （誰々）に感謝の意を表す。 | Extend one's thanks^Verb Phrase^core^感謝の意を表す（拡張する） | to somebody.^Preposition^modifier^誰かに対して||
26 | She threw me a curveball during the interview. | 彼女は面接中に予想外の質問をしてきました（変化球を投げた）。 | She threw me^S+V+IO^core^彼女は私に投げた | a curveball^Object^core^変化球（難問）を | during the interview.^Preposition^modifier^面接の間に|
27 | Do we need a pump to inflate the balloons? | 風船を膨らませるのにポンプが必要ですか？ | Do we need a pump^Aux+S+V+O^core^私たちはポンプが必要ですか | to inflate the balloons?^Infinitive^modifier^風船を膨らませるために||
28 | You've grown since the last time I saw you. | 前に会った時から大きくなりましたね。 | You've grown^S+V^core^あなたは成長した | since the last time^Conjunction^connector^最後～の時から | I saw you.^Clause^modifier^私があなたに会った|
29 | There's a great deal to learn on YouTube. | YouTubeには学ぶべきことがたくさんあります。 | There's a great deal^Structure^core^たくさんのことがある | to learn^Infinitive^modifier^学ぶべき | on YouTube.^Preposition^modifier^YouTube上で|
30 | I'm so sick of workplace politics. | 職場の政治（人間関係の駆け引き）にはうんざりです。 | I'm so sick^S+BeVerb+Adj^core^私はとてもうんざりしている | of workplace politics.^Preposition^modifier^職場の政治に||
32 | Ichiro's words motivate me to be better. | イチローの言葉は、もっと良くなろうというやる気を起こさせてくれます。 | Ichiro's words^Subject^core^イチローの言葉は | motivate me^Verb+Object^core^私を動機づける | to be better.^Infinitive^modifier^より良くなるように|
33 | I need to withdraw some money from this account. | この口座からお金を引き出す必要があります。 | I need to withdraw^S+V+Infinitive^core^私は引き出す必要がある | some money^Object^core^いくらかのお金を | from this account.^Preposition^modifier^この口座から|
34 | Nobody knows what the future holds. | 未来に何が起こるかは誰にもわかりません。 | Nobody knows^Subject+Verb^core^誰も知らない | what the future holds.^Noun Clause^core^未来が何を持っているか（どうなるか）||
35 | Should we buy a plain or patterned carpet? | 無地のカーペットを買うべきか、柄物を買うべきか？ | Should we buy^Aux+S+V^core^私たちは買うべきですか | a plain or patterned carpet?^Object^core^無地か柄物のカーペットを||
36 | This leather jacket doesn't really appeal to me. | このレザージャケットはあまり魅力を感じません。 | This leather jacket^Subject^core^この革ジャンは | doesn't really appeal^Aux+Adv+V^core^あまり訴えかけてこない（魅力がない） | to me.^Preposition^modifier^私にとって|
37 | A spectacularly beautiful city. | 壮大で美しい都市。 | A spectacularly^Adverb^modifier^壮大に（目を見張るほど） | beautiful city.^Noun Phrase^core^美しい都市||
38 | How did we get lost in the middle of nowhere? | どうしてこんな何もない場所で迷ってしまったんだろう？ | How did we get lost^Interrogative+S+V^core^どうして私たちは迷ったのか | in the middle^Preposition^modifier^真ん中で | of nowhere?^Preposition^modifier^何もない場所の|
39 | Can you follow up on this with the client? | この件についてクライアントにフォロー（追跡確認）してもらえますか？ | Can you follow up^Aux+S+V^core^フォローアップできますか | on this^Preposition^modifier^これについて | with the client?^Preposition^modifier^クライアントと|
40 | Pick somebody's brain about something. | （誰々）の知恵を借りる／意見を聞く。 | Pick somebody's brain^Verb Phrase^core^誰かの脳をつつく（知恵を借りる） | about something.^Preposition^modifier^何かについて||
41 | Japanese cars are extremely reliable. | 日本車は極めて信頼性が高いです。 | Japanese cars are^Subject+BeVerb^core^日本車は～です | extremely reliable.^Adverb+Adj^core^極めて信頼できる||
42 | What are the underlying causes of poverty? | 貧困の根本的な原因は何ですか？ | What are^Wh+BeVerb^core^何ですか | the underlying causes^Complement^core^根本的な原因は | of poverty?^Preposition^modifier^貧困の|
43 | You should make your studies part of your daily routine. | 勉強を日課の一部にするべきです。 | You should make^S+Aux+V^core^あなたは～にするべきだ | your studies^Object^core^あなたの勉強を | part of your daily routine.^Complement^core^日課の一部に|
44 | I foresee you getting married by the time you're 30. | あなたは30歳までには結婚していると予見します。 | I foresee^Subject+Verb^core^私は予見する | you getting married^Object Clause^core^あなたが結婚することを | by the time you're 30.^Time Phrase^modifier^30歳になる頃までには|
45 | The train was crammed full of passengers. | 電車は乗客でぎゅうぎゅう詰めでした。 | The train was^S+BeVerb^core^電車は～だった | crammed full^Adjective^core^ぎゅうぎゅう詰めの | of passengers.^Preposition^modifier^乗客で|
46 | Relax. This test isn't that hard. | リラックスして。このテストはそんなに難しくないよ。 | Relax.^Imperative^core^リラックスして | This test isn't^S+BeVerb+Not^core^このテストは～ない | that hard.^Adjective^core^そんなに難しくは|
47 | This professor is advocating a vegan diet. | この教授はヴィーガン（完全菜食）の食事を提唱しています。 | This professor is advocating^S+BeVerb+Ving^core^この教授は提唱している | a vegan diet.^Object^core^ヴィーガンの食事を||
48 | These pictures remind me of my high school days. | これらの写真は高校時代を思い出させます。 | These pictures remind me^S+V+O^core^これらの写真は私に思い出させる | of my high school days.^Preposition^modifier^高校時代のことを||
49 | Do you remember precisely the first time we met? | 私たちが初めて会った時のことを正確に覚えていますか？ | Do you remember^Aux+S+V^core^あなたは覚えていますか | precisely^Adverb^modifier^正確に | the first time we met?^Object+Clause^core^私たちが初めて会った時を|
50 | Please make your way to platform 9. | 9番ホームへお進みください。 | Please make your way^Imperative^core^進んでください（向かってください） | to platform 9.^Preposition^modifier^9番ホームへ||
51 | The weather forecast was largely correct. | 天気予報はおおむね当たっていました。 | The weather forecast was^S+BeVerb^core^天気予報は～だった | largely correct.^Adverb+Adj^core^大部分は正しい||
52 | My trip to Paris was uneventful. | パリへの旅行は平穏無事（特筆すべき出来事なし）でした。 | My trip to Paris^Subject^core^パリへの旅行は | was uneventful.^BeVerb+Adj^core^平穏無事だった||
53 | The US dollar has appreciated. | 米ドルの価値が上がりました。 | The US dollar^Subject^core^米ドルは | has appreciated.^Aux+Verb^core^価値が上がった（高騰した）||
54 | I want to travel the world in my mind. | 想像の中で世界中を旅したいです。 | I want to travel^S+V+Infinitive^core^私は旅したい | the world^Object^core^世界を | in my mind.^Preposition^modifier^私の心の中で|
55 | My laptop has frozen yet again. | ノートパソコンがまた固まってしまいました。 | My laptop has frozen^S+Aux+V^core^私のパソコンが固まった | yet again.^Adverb^modifier^またしても||
57 | I'm so tired of fighting with my boyfriend. | 彼氏と喧嘩するのはもううんざりです。 | I'm so tired^S+BeVerb+Adj^core^私はとてもうんざりしている | of fighting^Preposition^modifier^戦う（喧嘩する）ことに | with my boyfriend.^Preposition^modifier^彼氏と|
58 | I think the man bun is just a fad. | お団子ヘア（男性のマンバン）はただの一時的な流行だと思います。 | I think^Subject+Verb^core^私は思う | the man bun is^S+BeVerb^core^マンバンは～だと | just a fad.^Complement^core^ただの一時的な流行|
59 | Where do you think Saki's hatred towards me stems from? | サキの私への嫌悪感はどこから来ていると思いますか？ | Where do you think^Wh+Aux+S+V^core^どこだと思いますか | Saki's hatred towards me^Subject^core^私へのサキの憎しみは | stems from?^Verb Phrase^core^由来する（生じる）|
60 | Do you know how I can restore my files? | どうすればファイルを復元できるか知っていますか？ | Do you know^Aux+S+V^core^あなたは知っていますか | how I can restore^Wh+S+V^core^どうすれば私が復元できるか | my files?^Object^core^私のファイルを|
63 | This restaurant is popular with locals. | このレストランは地元の人に人気があります。 | This restaurant is^S+BeVerb^core^このレストランは～です | popular^Adjective^core^人気がある | with locals.^Preposition^modifier^地元の人たちに|
64 | His tweets often cause a stir. | 彼のツイートはしばしば波紋を呼びます。 | His tweets^Subject^core^彼のツイートは | often cause^Adv+Verb^core^しばしば引き起こす | a stir.^Object^core^騒ぎ（波紋）を|
65 | I don't really like the acidity of this coffee. | このコーヒーの酸味はあまり好きではありません。 | I don't really like^S+Aux+V^core^私はあまり好きではない | the acidity^Object^core^酸味が | of this coffee.^Preposition^modifier^このコーヒーの|
66 | I really want to further improve my English. | 英語をもっと上達させたいと心から思っています。 | I really want^S+Adv+V^core^私は本当にしたい | to further improve^Infinitive^core^さらに上達させることを | my English.^Object^core^私の英語を|
67 | The suspect denied his involvement in the crime. | 容疑者はその犯罪への関与を否定しました。 | The suspect denied^S+V^core^容疑者は否定した | his involvement^Object^core^彼の関与を | in the crime.^Preposition^modifier^その犯罪への|
68 | I don't want to rely on my parents for money. | お金のことで親に頼りたくありません。 | I don't want to rely^S+V+Infinitive^core^私は頼りたくない | on my parents^Preposition^modifier^私の親に | for money.^Preposition^modifier^お金のために|
69 | Don't force yourself if you don't want to come. | 来たくないなら無理しないでください。 | Don't force yourself^Imperative^core^無理をしないで | if you don't want^Conjunction^connector^もしあなたが望まないなら | to come.^Infinitive^modifier^来ることを|
70 | I need a strict coach to foster my talent. | 私の才能を育てるには厳しいコーチが必要です。 | I need a strict coach^S+V+O^core^私は厳しいコーチが必要だ | to foster^Infinitive^modifier^育てるために | my talent.^Object^core^私の才能を|
71 | This band is on a completely different level. | このバンドは完全にレベルが違います（格が違う）。 | This band is^S+BeVerb^core^このバンドは～にいる | on a completely different level.^Preposition^modifier^完全に違うレベルに||
72 | It's a pity that you weren't around for my birthday. | 私の誕生日にあなたがそばにいなかったのは残念です。 | It's a pity that^Expression^connector^～なのは残念だ | you weren't around^S+BeVerb+Adv^core^あなたが近くにいなかった | for my birthday.^Preposition^modifier^私の誕生日に|
73 | What's your opinion on universal basic income? | ユニバーサル・ベーシックインカムについてどう思いますか？ | What's your opinion^Wh+BeVerb+S^core^あなたの意見は何ですか | on universal basic income?^Preposition^modifier^ベーシックインカムについて||
75 | It's hard to describe how I'm feeling right now. | 今の気持ちを言葉にするのは難しいです。 | It's hard to describe^Structure^core^描写するのは難しい | how I'm feeling^Wh+Clause^core^私がどう感じているか | right now.^Adverb^modifier^たった今|
76 | This YouTube video doesn't have a description. | このYouTube動画には説明文がありません。 | This YouTube video^Subject^core^このYouTube動画は | doesn't have^Aux+Verb^core^持っていない（ない） | a description.^Object^core^説明（概要欄）を|
77 | The band's performance was divine. | そのバンドの演奏は神がかっていました（素晴らしかった）。 | The band's performance^Subject^core^そのバンドの演奏は | was divine.^BeVerb+Adj^core^神々しかった（最高だった）||
78 | Can I see your identification please? | 身分証明書を見せていただけますか？ | Can I see^Aux+S+V^core^私は見ることができますか | your identification please?^Object^core^あなたの身分証を||
79 | I have no idea why. | なぜだか全くわかりません。 | I have^S+V^core^私は持っている | no idea^Object^core^考えがない（わからない） | why.^Connector^modifier^なぜか|
80 | Please refrain from smoking on the plane. | 機内での喫煙はご遠慮ください。 | Please refrain^Imperative^core^控えてください | from smoking^Preposition^modifier^喫煙することを | on the plane.^Preposition^modifier^飛行機の中で|
81 | I need to make some revisions to my thesis. | 論文をいくつか修正する必要があります。 | I need to make^S+V+Infinitive^core^私はする（作る）必要がある | some revisions^Object^core^いくつかの修正を | to my thesis.^Preposition^modifier^私の論文に対して|
82 | This video explains how to core an apple. | この動画はリンゴの芯の取り方を説明しています。 | This video explains^S+V^core^この動画は説明している | how to core^Wh+Infinitive^core^芯の取り方を | an apple.^Object^core^リンゴの|
83 | Do you think I should take notes during an interview? | 面接中にメモを取るべきだと思いますか？ | Do you think^Aux+S+V^core^あなたは思いますか | I should take notes^S+Aux+V+O^core^私はメモを取るべきだと | during an interview?^Preposition^modifier^面接の間に|
84 | Draw a parallel between A and B. | AとBの類似点を示す（対比させる）。 | Draw a parallel^Verb+Object^core^平行線を引く（対比させる） | between A and B.^Preposition^modifier^AとBの間に||
85 | Do you think all this rain is due to global warming? | この雨続きは地球温暖化のせいだと思いますか？ | Do you think^Aux+S+V^core^あなたは思いますか | all this rain is^S+BeVerb^core^この全ての雨は～だと | due to global warming?^Preposition^modifier^地球温暖化が原因で|
86 | How many fireworks can we launch at once? | 一度に何発の花火を打ち上げられますか？ | How many fireworks^Wh+Noun^core^いくつの花火を | can we launch^Aux+S+V^core^私たちは打ち上げられますか | at once?^Adverb^modifier^一度に|
87 | I bought an apartment with a balcony facing south. | 南向きのバルコニーがあるマンションを買いました。 | I bought an apartment^S+V+O^core^私はマンションを買った | with a balcony^Preposition^modifier^バルコニー付きの | facing south.^Participle^modifier^南を向いている|
88 | I spread the butter first and then the jam. | 最初にバターを塗って、それからジャムを塗ります。 | I spread the butter^S+V+O^core^私はバターを塗る | first^Adverb^modifier^最初に | and then the jam.^Conjunction+Object^core^そして次にジャムを|
89 | He always demands perfection from his teammates. | 彼はいつもチームメイトに完璧を求めます。 | He always demands^S+Adv+V^core^彼はいつも要求する | perfection^Object^core^完璧さを | from his teammates.^Preposition^modifier^チームメイトから|
90 | How do voters living abroad cast their votes? | 海外に住む有権者はどうやって投票するのですか？ | How do voters^Wh+Aux+S^core^どのように有権者は | living abroad^Participle^modifier^海外に住んでいる | cast their votes?^Verb+Object^core^彼らの票を投じるのか|
91 | Did you do that on purpose or by accident? | それはわざとやったの、それとも偶然？ | Did you do that^Aux+S+V+O^core^あなたはそれをしたのか | on purpose^Preposition^modifier^わざと（目的を持って） | or by accident?^Conjunction+Prep^modifier^それとも偶然に|
92 | What's the employment outlook for Europe this year? | 今年のヨーロッパの雇用見通しはどうですか？ | What's^Wh+BeVerb^core^何ですか（どうですか） | the employment outlook^Subject^core^雇用見通しは | for Europe this year?^Preposition^modifier^今年のヨーロッパの|
93 | You are responsible for your own actions. | あなたは自分の行動に責任があります。 | You are responsible^S+BeVerb+Adj^core^あなたは責任がある | for your own actions.^Preposition^modifier^あなた自身の行動に対して||
94 | Why'd you bring a passport? We're flying domestically. | なぜパスポートを持ってきたの？国内線だよ。 | Why'd you bring^Wh+Aux+S+V^core^なぜ持ってきたの | a passport?^Object^core^パスポートを | We're flying domestically.^S+V+Adv^core^私たちは国内を飛ぶんだよ|
95 | Can you please address this issue as soon as you can? | できるだけ早くこの問題に対処してもらえますか？ | Can you please address^Aux+S+V^core^対処してくれますか | this issue^Object^core^この問題を | as soon as you can?^Conjunction^modifier^できるだけ早く|
96 | Take disciplinary action against somebody. | （誰々）に対して懲戒処分を行う。 | Take disciplinary action^Verb+Object^core^懲戒処分をとる | against somebody.^Preposition^modifier^誰かに対して||
97 | Did you like working for your previous boss? | 前の上司の下で働くのは好きでしたか？ | Did you like^Aux+S+V^core^あなたは好きでしたか | working^Gerund^core^働くことが | for your previous boss?^Preposition^modifier^前の上司のために|
98 | Here's your pen. I took it by mistake. | はい、あなたのペン。間違って持って行っちゃった。 | Here's your pen.^Adv+V+S^core^ここにあなたのペンがある | I took it^S+V+O^core^私はそれを取った | by mistake.^Preposition^modifier^間違って|
99 | Ben was omitted from the starting lineup. | ベンはスターティングメンバーから外されました。 | Ben was omitted^S+BeVerb+PastParticiple^core^ベンは除外された | from the starting lineup.^Preposition^modifier^スタメンから||
100 | Our office is located in New York. | 私たちのオフィスはニューヨークにあります。 | Our office is located^S+BeVerb+Adj^core^私たちのオフィスは位置している | in New York.^Preposition^modifier^ニューヨークに||
102|Sorry for holding you up from going home.|帰宅するところを引き止めてごめんね。|Sorry^Interjection^core^ごめん|for holding you up^Preposition^modifier^あなたを引き止めて|from going home.^Preposition^modifier^帰宅することから|
103|He married her purely because he loves her.|彼が彼女と結婚したのは、純粋に彼女を愛しているからです。|He married her^S+V+O^core^彼は彼女と結婚した|purely^Adverb^modifier^純粋に|because he loves her.^Conjunction^connector^彼が彼女を愛しているから|
104|That watch is his most prized possession.|あの時計は彼の最も大切な所有物です。|That watch is^S+V^core^あの時計は～です|his most prized possession.^Complement^core^彼の最も大切な所有物||
105|She was diagnosed with diabetes.|彼女は糖尿病と診断されました。|She was diagnosed^S+V (Passive)^core^彼女は診断された|with diabetes.^Preposition^modifier^糖尿病と||
106|I'll keep you company until your cab comes.|タクシーが来るまで一緒にいるよ。|I'll keep you company^S+V+O+C^core^私はあなたに付き合う|until your cab comes.^Conjunction^connector^あなたのタクシーが来るまで||
107|As far as I know, he hasn't finished his work yet.|私の知る限り、彼はまだ仕事を終えていません。|As far as I know,^Connector^connector^私の知る限り|he hasn't finished^S+V^core^彼は終えていない|his work yet.^Object^core^仕事をまだ|
108|Have a chat with somebody about something.|誰かと何かについておしゃべりをする。|Have a chat^Verb+Object^core^おしゃべりをする|with somebody^Preposition^modifier^誰かと|about something.^Preposition^modifier^何かについて|
109|Is there a reason why you dyed your hair pink?|髪をピンクに染めた理由はありますか？|Is there a reason^V+S^core^理由はありますか|why you dyed^Relative^connector^あなたが染めた（理由）|your hair pink?^Object+Comp^core^髪をピンクに|
110|I'm pretty sick of doing job interviews.|就職面接をするのはもううんざりだ。|I'm pretty sick^S+V+C^core^私はかなりうんざりしている|of doing^Preposition^modifier^することに|job interviews.^Object^core^就職面接を|
113|I had two wisdom teeth extractions today.|今日、親知らずを2本抜歯しました。|I had^S+V^core^私は受けた（した）|two wisdom teeth extractions^Object^core^2本の親知らずの抜歯を|today.^Adverb^modifier^今日|
114|Manifests itself in something.|（症状などが）～に現れる。|Manifests itself^Verb+Object^core^それ自体を現す|in something.^Preposition^modifier^何かにおいて||
115|I'll most likely be heading to the pool after work.|仕事の後、たぶんプールに向かうことになると思う。|I'll most likely be heading^S+V^core^私はたぶん向かうだろう|to the pool^Preposition^modifier^プールへ|after work.^Preposition^modifier^仕事の後に|
116|Circumference equals d * pi|円周は直径×円周率に等しい。|Circumference equals^S+V^core^円周は等しい|d * pi^Object^core^直径×円周率||
117|The four basic arithmetic operations.|四則演算（加減乗除）。|The four basic^Adjective^modifier^4つの基本的な|arithmetic operations.^Noun^core^算術演算||
118|Tim's pink jacket made him very conspicuous.|ティムのピンクのジャケットは彼をとても目立たせた。|Tim's pink jacket^Subject^core^ティムのピンクのジャケットは|made him^Verb+Object^core^彼を～にした|very conspicuous.^Adjective^core^とても目立つように|
119|The country threatened to use nuclear weapons.|その国は核兵器を使用すると脅した。|The country threatened^S+V^core^その国は脅した|to use^Infinitive^modifier^使用することを|nuclear weapons.^Object^core^核兵器を|
120|The smartphone revolution has changed the world.|スマートフォン革命は世界を変えた。|The smartphone revolution^Subject^core^スマホ革命は|has changed^Verb^core^変えてしまった|the world.^Object^core^世界を|
121|Extend one's gratitude to somebody.|誰かに感謝の意を表す。|Extend one's gratitude^Verb+Object^core^感謝を延長する（表す）|to somebody.^Preposition^modifier^誰かに向けて||
122|How can I search for hashtags that are trending?|トレンドになっているハッシュタグはどうやって検索できますか？|How can I search^Wh-Question^core^どうやって検索できますか|for hashtags^Preposition^modifier^ハッシュタグを|that are trending?^Relative^connector^トレンドになっている|
123|I often feel isolated from other people.|私はよく他人から孤立していると感じます。|I often feel^S+V^core^私はよく感じる|isolated^Adjective^core^孤立していると|from other people.^Preposition^modifier^他の人々から|
124|Do you think it's a good time to buy property?|不動産を買うには良い時期だと思いますか？|Do you think^S+V^core^あなたは思いますか|it's a good time^Clause(S+V+C)^core^良い時期だと|to buy property?^Infinitive^modifier^不動産を買うための|
126|I sing horribly, but I still love karaoke.|私は歌がひどいですが、それでもカラオケが大好きです。|I sing horribly,^Clause 1^core^私は歌が下手だ|but^Conjunction^connector^しかし|I still love karaoke.^Clause 2^core^私はまだカラオケが好きだ|
127|The whole idea of using Skype is to save money.|Skypeを使うそもそもの目的は節約することです。|The whole idea^Subject^core^全体の考え（目的）は|of using Skype^Preposition^modifier^Skypeを使うことの|is to save money.^Verb+Comp^core^お金を節約することです|
129|There was a small gathering at my place last night.|昨夜、私の家で小さな集まりがありました。|There was^V+S^core^～があった|a small gathering^Noun^core^小さな集まりが|at my place last night.^Preposition^modifier^昨夜私の家で|
130|Is that new movie playing in theaters already?|あの新しい映画はもう劇場で上映されていますか？|Is that new movie^Subject^core^あの新しい映画は|playing^Verb^core^上映されているか|in theaters already?^Preposition^modifier^もう劇場で|
131|What's the root cause of global warming?|地球温暖化の根本的な原因は何ですか？|What's^Wh-Question^core^何ですか|the root cause^Complement^core^根本的な原因は|of global warming?^Preposition^modifier^地球温暖化の|
132|I'm planning to study in Australia next year.|来年オーストラリアに留学する予定です。|I'm planning^S+V^core^私は計画している|to study^Infinitive^modifier^勉強することを|in Australia next year.^Preposition^modifier^来年オーストラリアで|
133|The jurors deliberated for about 2 hours.|陪審員たちは約2時間審議した。|The jurors deliberated^S+V^core^陪審員たちは審議した|for about 2 hours.^Preposition^modifier^約2時間||
134|Australia is going through a severe drought this year.|オーストラリアは今年、深刻な干ばつに見舞われています。|Australia is going through^S+V^core^オーストラリアは経験している|a severe drought^Object^core^深刻な干ばつを|this year.^Adverb^modifier^今年は|
135|If you can visualize it, you can actualize it.|想像できるなら、それを実現できる。|If you can visualize it,^Clause(If)^modifier^もしそれを想像できるなら|you can actualize it.^Clause(Main)^core^あなたはそれを実現できる||
136|Bitcoin prices are soaring today.|今日、ビットコインの価格が急騰しています。|Bitcoin prices^Subject^core^ビットコインの価格は|are soaring^Verb^core^急騰している|today.^Adverb^modifier^今日|
137|Where's this constant creepy noise coming from?|この絶え間ない不気味な音はどこから来ているの？|Where's ... coming from?^Wh-Question^core^～はどこから来ているのか|this constant creepy noise^Subject^core^この絶え間ない不気味な音は||
138|I like working in a fast-paced environment.|私はペースの速い環境で働くのが好きです。|I like^S+V^core^私は好きだ|working^Gerund^core^働くことが|in a fast-paced environment.^Preposition^modifier^ペースの速い環境で|
140|I'm going to scope out the apartment over there tomorrow.|明日、あそこのアパートを下見に行くつもりだ。|I'm going to scope out^S+V^core^私は下見に行くつもりだ|the apartment over there^Object^core^あそこのアパートを|tomorrow.^Adverb^modifier^明日|
141|Go easy on him. He's still a trainee.|彼には手加減してやって。彼はまだ研修生なんだ。|Go easy on him.^Imperative^core^彼には手加減して|He's still a trainee.^S+V+C^core^彼はまだ研修生だ||
142|Why would anyone steal my old textbooks?|なんでまた私の古い教科書なんか盗む人がいるの？|Why would anyone steal^Wh-Question^core^なぜ誰かが盗むだろうか|my old textbooks?^Object^core^私の古い教科書を||
143|What discipline of science did you specialize in?|科学のどの分野を専門にしていましたか？|What discipline of science^Object^core^科学のどの分野を|did you specialize in?^S+V^core^あなたは専門にしましたか||
144|I know he's good-looking, but I'm not attracted to him.|彼がイケメンなのは知ってるけど、惹かれないの。|I know he's good-looking,^Clause 1^core^彼が良い見た目だと知っている|but^Connector^connector^しかし|I'm not attracted to him.^Clause 2^core^私は彼に惹かれない|
145|The last thing I want to do is something.|私が最もやりたくないことは～だ。|The last thing I want to do^Subject^core^私が最もやりたくないことは|is something.^V+C^core^～だ||
146|I'm considering a few options for dinner tonight.|今夜の夕食についていくつか選択肢を考えています。|I'm considering^S+V^core^私は検討している|a few options^Object^core^いくつかの選択肢を|for dinner tonight.^Preposition^modifier^今夜の夕食のために|
148|Direct. Direct.|直接の。指示する。|Direct.^Adjective^core^直接の（形容詞）|Direct.^Verb^core^指示する（動詞）||
149|Director. Director.|監督。責任者。|Director.^Noun^core^監督|Director.^Noun^core^責任者||
150|I wonder what's causing the depletion of my money.|何が私のお金を減らしている原因なんだろう。|I wonder^S+V^core^私は不思議に思う|what's causing^Clause(S+V)^connector^何が引き起こしているのか|the depletion of my money.^Object^core^私のお金の減少を|
151|Sometimes I feel like a genius.|時々、自分が天才のように感じることがある。|Sometimes^Adverb^modifier^時々|I feel like^S+V^core^私は～のように感じる|a genius.^Complement^core^天才であると|
152|Why are you so impatient? Your order is coming.|なんでそんなにせっかちなの？注文はもうすぐ来るよ。|Why are you so impatient?^Wh-Question^core^なぜそんなにせっかちなの|Your order is coming.^S+V^core^あなたの注文は来ている（すぐ来る）||
153|The root cause of something.|～の根本原因。|The root cause^Noun^core^根本的な原因|of something.^Preposition^modifier^何かの||
154|I gave Cindy some flowers as a peace offering.|仲直りのしるしとしてシンディに花をあげた。|I gave Cindy some flowers^S+V+O+O^core^私はシンディに花をあげた|as a peace offering.^Preposition^modifier^和解の贈り物として||
