ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5
11|00:00:46.802|Stay with us. We've got all the news you need to start your day.|そのままお待ちください。一日の始まりに必要なすべてのニュースをお届けします。|Stay with us^Verb Phrase^core^私たちと一緒にいてください（チャンネルはそのままで）|We've got all the news^S+V+O^core^私たちは全てのニュースを持っています|you need^Rel Clause^modifier^あなたが必要とする|to start your day^Inf Phrase^modifier^あなたの一日を始めるために|
12|00:00:55.859|This message comes from Grainger.|このメッセージはGraingerから提供されています。|This message comes^S+V^core^このメッセージは来ています|from Grainger^Prep Phrase^modifier^Graingerから|||
13|00:00:57.740|If your job at a healthcare facility includes disinfecting against viruses, you know prevention is the best medicine.|もし医療施設でのあなたの仕事にウイルス消毒が含まれているなら、予防こそが最良の薬だとご存知でしょう。|If your job at a healthcare facility includes^If-Clause(S+V)^modifier^もし医療施設でのあなたの仕事が含まむならば|disinfecting against viruses^Gerund Phrase^core^ウイルスに対する消毒を|you know^S+V^core^あなたは知っています|prevention is the best medicine^Clause(S+V+C)^core^予防が最良の薬であることを|
14|00:01:04.364|And maintaining healthy spaces starts with a healthy cleaning routine.|そして、健全な空間の維持は、健全な清掃ルーチンから始まります。|And maintaining healthy spaces starts^S+V^core^そして健全な空間を維持することは始まります|with a healthy cleaning routine^Prep Phrase^modifier^健全な清掃ルーチンから|||
15|00:01:07.864|Grainger's world-class supply chain helps ensure you have the quality products you need when you need them.|Graingerのワールドクラスのサプライチェーンは、必要な時に必要な高品質な製品を確実に手に入れられるようサポートします。|Grainger's world-class supply chain helps ensure^S+V+O^core^Graingerの世界レベルの供給網は確実にするのを助けます|you have the quality products^Clause(S+V+O)^core^あなたが良質な製品を持つことを|you need^Rel Clause^modifier^あなたが必要とする|when you need them^Adv Clause^modifier^それらが必要な時に|
16|00:01:25.608|Support for this podcast and the following message come from Betterment.|このポッドキャストへの支援と続くメッセージは、Bettermentから提供されています。|Support for this podcast^Subject^core^このポッドキャストへの支援|and the following message^Subject^core^そして続くメッセージは|come from Betterment^V+Prep^core^Bettermentから来ています||
17|00:01:29.090|Don't just imagine a better future, start investing in one with Betterment.|より良い未来をただ想像するだけでなく、Bettermentでその未来への投資を始めましょう。|Don't just imagine^Verb (Imp)^core^ただ想像するだけではいけません|a better future^Object^core^より良い未来を|start investing in one^Verb (Imp)^core^それへの投資を始めてください|with Betterment^Prep Phrase^modifier^Bettermentと共に|
18|00:01:33.115|Betterment helps people and small businesses put their money to work by automating to make savings simpler.|Bettermentは、自動化によって貯蓄を簡素化し、人々や中小企業のお金が働くようサポートします。|Betterment helps people and small businesses^S+V+O^core^Bettermentは人々と中小企業を助けます|put their money to work^Inf Phrase^core^彼らのお金を働かせることを|by automating^Prep Phrase^modifier^自動化することによって|to make savings simpler^Inf Phrase^modifier^貯蓄をより簡単にするために|
19|00:02:30.528|On a warm Sunday evening in Sydney, Australia, people were celebrating the Jewish holiday of Hanukkah on a beach.|オーストラリア、シドニーの暖かい日曜日の夕方、人々はビーチでユダヤ教の休日であるハヌカを祝っていました。|On a warm Sunday evening^Prep Phrase^modifier^暖かい日曜日の夕方に|in Sydney, Australia^Prep Phrase^modifier^オーストラリアのシドニーで|people were celebrating^S+V^core^人々は祝っていました|the Jewish holiday of Hanukkah^Object^core^ユダヤ教の休日ハヌカを|on a beach^Prep Phrase^modifier^ビーチで
20|00:02:36.830|That is when two gunmen opened fire.|その時、2人の武装した男が発砲しました。|That is when^S+V+Adv^core^その時が（～した時）です|two gunmen opened fire^Clause(S+V+O)^core^2人の銃撃犯が火蓋を切った（のは）|||
21|00:02:39.915|Today, police say they have some information about the suspects accused of killing at least 15 people.|今日、警察は少なくとも15人を殺害した疑いのある容疑者に関する情報を掴んでいると発表しました。|Today police say^Adv+S+V^core^今日、警察は言います|they have some information^Clause(S+V+O)^core^彼らはいくつかの情報を持っていると|about the suspects^Prep Phrase^modifier^その容疑者たちについての|accused of killing^Participle^modifier^殺害で告発されている（容疑者）|at least 15 people^Object^core^少なくとも15人を
22|00:02:44.650|They're described as a father and son shown making a sustained assault that lasted until police shot them.|彼らは父親と息子であると説明されており、警察に撃たれるまで攻撃を続けている様子が確認されています。|They're described as^S+V+Prep^core^彼らは～として描写されています|a father and son^Noun Phrase^core^父親と息子（であると）|shown making a sustained assault^Participle^modifier^持続的な攻撃を行っているのが見られる|that lasted^Rel Clause^modifier^（その攻撃は）続きました|until police shot them^Adv Clause^modifier^警察が彼らを撃つまで
23|00:02:59.602|It's a difficult time for Australia's Jewish community and the country as a whole.|オーストラリアのユダヤ人コミュニティ、そして国全体にとって困難な時期です。|It's a difficult time^S+V+C^core^それは困難な時期です|for Australia's Jewish community^Prep Phrase^modifier^オーストラリアのユダヤ人コミュニティにとって|and the country as a whole^Noun Phrase^modifier^そして国全体にとって||
24|00:03:17.663|The father was 50 years old and was killed by police officers at the scene.|父親は50歳で、現場で警察官によって射殺されました。|The father was 50 years old^S+V+C^core^父親は50歳でした|and was killed^V (Passive)^core^そして殺されました|by police officers^Prep Phrase^modifier^警察官によって|at the scene^Prep Phrase^modifier^その現場で|
25|00:03:21.719|His 24-year-old son is in hospital recovering from critical injuries.|彼の24歳の息子は、重傷から回復するため入院中です。|His 24-year-old son is in hospital^S+V+Adv^core^彼の24歳の息子は病院にいます|recovering^Participle^modifier^回復しつつ|from critical injuries^Prep Phrase^modifier^危機的な怪我から||
26|00:03:25.862|Police say he will likely face criminal charges.|警察は、彼が刑事訴追を受ける可能性が高いと述べています。|Police say^S+V^core^警察は言います|he will likely face^S+V^core^彼は恐らく直面するだろうと|criminal charges^Object^core^刑事告発に||
27|00:03:29.086|Police quickly designated the incident a terror attack.|警察はこの事件を迅速にテロ攻撃と認定しました。|Police quickly designated^S+V^core^警察は素早く認定しました|the incident^Object^core^その事件を|a terror attack^Complement^core^テロ攻撃であると||
28|00:03:45.456|And that declaration of an act of terrorism means additional powers have now been given to police to investigate.|そして、テロ行為との認定は、捜査のために警察にさらなる権限が与えられたことを意味します。|And that declaration of an act of terrorism^S+Prep^core^そしてそのテロ行為の宣言（認定）は|means^Verb^core^意味します|additional powers have now been given^Clause(Passive)^core^追加の権限が今与えられたことを|to police^Prep Phrase^modifier^警察に対して|to investigate^Inf Phrase^modifier^捜査をするための
29|00:04:12.389|That includes a rabbi and a Holocaust survivor.|その中にはラビ（ユダヤ教指導者）とホロコースト生存者が含まれています。|That includes^S+V^core^それは含んでいます|a rabbi^Object^core^ラビを|and a Holocaust survivor^Object^core^そしてホロコースト生存者を||
30|00:04:35.617|Prime Minister Albanese acknowledged the bravery of one civilian in particular.|アルバニージー首相は、特に一人の一般市民の勇敢さを称えました。|Prime Minister Albanese acknowledged^S+V^core^アルバニージー首相は認めました（称えました）|the bravery of one civilian^Object^core^ある一人の市民の勇敢さを|in particular^Adv Phrase^modifier^特に||
31|00:04:39.836|He was seen in a video widely shared on social media wrestling a weapon off one of the alleged shooters.|彼は、ソーシャルメディアで広く共有された動画の中で、銃撃犯とされる一人の男から武器をもぎ取ろうと揉み合っている姿が見られました。|He was seen in a video^S+V(Passive)+Prep^core^彼はビデオの中で見られました|widely shared on social media^Participle^modifier^SNSで広く共有された（ビデオ）|wrestling a weapon off^Participle^modifier^武器をもぎ取ろうと格闘しているのを|one of the alleged shooters^Prep Phrase^modifier^疑わしき銃撃犯の一人から|
32|00:05:10.136|They added that the son had come to the attention of Australia's domestic intelligence agency in 2019.|彼らは、その息子が2019年にオーストラリア国内の諜報機関の注意を引いていたと付け加えました。|They added that^S+V^core^彼らは付け加えました|the son had come to the attention^Clause(S+V)^core^その息子が注意を引いていたことを|of Australia's domestic intelligence agency^Prep Phrase^modifier^オーストラリア国内諜報機関の|in 2019^Prep Phrase^modifier^2019年に|
33|00:06:16.377|A person of interest who had been detained following a shooting at Brown University is to be released.|ブラウン大学での銃撃事件を受けて拘束されていた重要参考人が、釈放されることになりました。|A person of interest^Subject^core^重要参考人が|who had been detained^Rel Clause^modifier^（その人は）拘束されていました|following a shooting^Prep Phrase^modifier^銃撃事件に続いて|is to be released^V(Passive)^core^釈放される予定です|
34|00:06:21.980|Authorities determined there is no basis to hold this person, which leaves them looking for whoever opened fire.|当局はこの人物を拘束する根拠がないと判断しました。これにより、発砲した人物の捜索が続くことになります。|Authorities determined^S+V^core^当局は決定（判断）しました|there is no basis to hold this person^Clause^core^この人物を拘束する根拠がないと|which leaves them looking for^Rel Clause^connector^それは彼らが探し続ける状態にします|whoever opened fire^Clause^core^誰であれ発砲した人物を|
35|00:07:07.427|I've been around long enough to know that sometimes you head in one direction and then you have to regroup and go in another.|私は長くこの仕事をしているので、ある方向に進んでも、再編成して別の方向に進まなければならないことがあると知っています。|I've been around long enough to know^S+V+Inf^core^私はこれを知るのに十分なほど長く生きて（経験して）います|that sometimes you head in one direction^Clause^core^時としてある方向に進むことを|and then you have to regroup^Clause^core^そして再編成しなければならない（ことを）|and go in another^Clause^core^そして別の方向へ進む（ことを）|
36|00:07:26.851|The suspect was able to escape after shooting multiple people in a classroom.|容疑者は教室で複数人を撃った後、逃走することができました。|The suspect was able to escape^S+V^core^容疑者は逃げることができました|after shooting multiple people^Prep Phrase^modifier^複数人を撃った後に|in a classroom^Prep Phrase^modifier^教室の中で||
37|00:08:16.980|A Christmas tree and menorah lighting ceremony that had already been scheduled at a nearby park in Providence yesterday evening shifted to being a memorial for the shooting victims.|昨晩、プロビデンス近くの公園で予定されていたクリスマスツリーとメノラーの点灯式は、銃撃犠牲者のための追悼式へと変更されました。|A Christmas tree and menorah lighting ceremony^Subject^core^クリスマスツリーとメノラーの点灯式が|that had already been scheduled^Rel Clause^modifier^それは既に予定されていました|at a nearby park^Prep Phrase^modifier^近くの公園で|shifted to being a memorial^V+Prep^core^追悼式であることへと移行しました|for the shooting victims^Prep Phrase^modifier^銃撃の犠牲者のための
38|00:08:50.144|Many were visibly distraught, shaken, and deeply frustrated.|多くの人が明らかに動揺し、震え、そして深い不満を感じていました。|Many were visibly distraught^S+V+C^core^多くの人が目に見えて取り乱していました|shaken^Adjective^core^動揺していました|and deeply frustrated^Adjective^core^そして深く苛立っていました||
39|00:09:50.852|Millions of Americans have seen the movies of Rob Reiner.|何百万人ものアメリカ人がロブ・ライナーの映画を見てきました。|Millions of Americans have seen^S+V^core^何百万ものアメリカ人が見てきました|the movies of Rob Reiner^Object^core^ロブ・ライナーの映画を|||
40|00:10:05.274|It's hard to know where to begin in describing Rob Reiner's career.|ロブ・ライナーのキャリアをどこから説明し始めればよいか分かりません。|It's hard to know^S+V^core^知る（判断する）のは難しいです|where to begin^Noun Phrase^core^どこから始めるべきか|in describing Rob Reiner's career^Prep Phrase^modifier^ロブ・ライナーのキャリアを描写するにあたって||
41|00:10:20.337|And he spent decades as the director of films, including When Harry Met Sally, The Princess Bride, This Is Spinal Tap, and A Few Good Men.|そして彼は数十年にわたり、「恋人たちの予感」、「プリンセス・ブライド」、「スパイナル・タップ」、「ア・フュー・グッドメン」などの映画監督として過ごしました。|And he spent decades^S+V+O^core^そして彼は数十年を費やしました|as the director of films^Prep Phrase^modifier^映画監督として|including When Harry Met Sally^Prep Phrase^modifier^「恋人たちの予感」を含め|The Princess Bride...^List^modifier^「プリンセス・ブライド」などを...|
42|00:11:43.274|At this time, the Los Angeles Police Department is not seeking anyone as a suspect or as a person of interest or in any other manner.|現時点では、ロサンゼルス市警は容疑者や重要参考人、あるいはその他のいかなる形でも、行方を追っている人物はいません。|At this time^Prep Phrase^modifier^現時点では|the Los Angeles Police Department is not seeking^S+V^core^ロサンゼルス市警は探していません|anyone as a suspect^Object+Prep^core^容疑者として誰かを|or as a person of interest^Prep Phrase^modifier^あるいは重要参考人として|
43|00:12:03.559|The fact that they are not right now does suggest that they may indeed know or suspect someone of committing the crime.|彼らが現時点で（容疑者を）探していないという事実は、実際に誰が犯行に及んだかを知っているか、疑っていることを示唆しています。|The fact that they are not right now^Subject+Rel Clause^core^彼らが今そうしていないという事実は|does suggest^Verb^core^強く示唆します|that they may indeed know^Clause(S+V)^core^彼らが実は知っているかもしれないことを|or suspect someone^Verb+Object^core^あるいは誰かを疑っている（ことを）|of committing the crime^Prep Phrase^modifier^その罪を犯したことについて
44|00:12:35.809|The world is unmistakably darker tonight.|今夜、世界は間違いなくより暗くなっています。|The world is^S+V^core^世界は（～です）|unmistakably darker^Complement^core^間違いなくより暗い|tonight^Adverb^modifier^今夜||
45|00:12:53.000|California Governor Gavin Newsom, who was a close friend of Reiner, said Rob was the big-hearted genius behind so many of the classic stories we love.|ライナーの親しい友人であったカリフォルニア州のギャビン・ニューサム知事は、ロブは私たちが愛する多くの古典的な物語を生み出した、寛大な心を持つ天才だったと述べました。|California Governor Gavin Newsom^Subject^core^カリフォルニア州のギャビン・ニューサム知事は|who was a close friend of Reiner^Rel Clause^modifier^（彼は）ライナーの親しい友人でしたが|said Rob was the big-hearted genius^V+Clause(S+V+C)^core^ロブは寛大な天才だったと言いました|behind so many of the classic stories^Prep Phrase^modifier^多くの古典的な物語の背後にいる|we love^Rel Clause^modifier^私たちが愛する
46|00:14:14.081|Are you stuck in a job you've outgrown or never wanted in the first place?|あなたは、もう自分には合わなくなった仕事や、そもそも望んでいなかった仕事に縛られていませんか？|Are you stuck in a job^V+S+C+Prep^core^あなたはある仕事に行き詰まって（縛られて）いませんか|you've outgrown^Rel Clause^modifier^あなたが成長して合わなくなった（仕事）|or never wanted^Rel Clause^modifier^あるいは決して望まなかった（仕事）|in the first place^Idiorm^modifier^そもそも（最初の場所で）|
