ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5
13|00:00:55.424|John is a second-generation Sonoma farmer.|ジョンはソノマの2代目の農家です。|John is^S+V^core^ジョンは〜です|a second-generation Sonoma farmer^Complement^core^2代目のソノマの農家|||
14|00:00:58.115|He planted his first wine grapes in 1995.|彼は1995年に最初のワイン用ブドウを植えました。|He planted^S+V^core^彼は植えました|his first wine grapes^Object^core^彼の最初のワイン用ブドウを|in 1995^Prep Phrase^modifier^1995年に||
15|00:01:02.341|Today, he bottles his own wine and also sells a lot of his grapes to other wineries.|今日では、彼は自身のワインを瓶詰めし、また多くのブドウを他のワイナリーに販売しています。|Today^Adverb^modifier^今日では|he bottles^S+V^core^彼は瓶詰めしています|his own wine^Object^core^彼自身のワインを|and also sells^Conjunction+V^core^そしてまた販売しています|a lot of his grapes^Object^core^彼のブドウの多くを
16|00:01:08.170|Well, on a harvest day, you'd see a pretty amazing sight.|収穫の日には、とても素晴らしい光景を目にするでしょう。|Well^Interjection^modifier^ええと|on a harvest day^Prep Phrase^modifier^収穫の日には|you'd see^S+V^core^あなたは目にするでしょう|a pretty amazing sight^Object^core^とても素晴らしい光景を|
17|00:01:13.170|We have multiple crews and they're picking and sorting the grapes and bringing them in.|複数のチームがいて、彼らがブドウを収穫し、選別し、運び込んでいます。|We have multiple crews^S+V+O^core^私たちには複数のチーム（作業員）がいます|and they're picking and sorting^S+V^core^そして彼らは収穫し選別しています|the grapes^Object^core^ブドウを|and bringing them in^V+O+Adv^core^そしてそれらを運び込んでいます|
18|00:01:19.216|so we can load them on the trucks, get them to the winery before it gets warm.|トラックに積み込み、暖かくなる前にワイナリーへ運ぶためです。|so we can load them^S+V+O^core^私たちがそれらを積み込めるように|on the trucks^Prep Phrase^modifier^トラックに|get them to the winery^V+O+Prep^core^それらをワイナリーへ届ける（ために）|before it gets warm^Adverb Clause^modifier^暖かくなる前に|
19|00:01:21.623|Just a wonderful thing.|ただただ素晴らしいことです。|Just^Adverb^modifier^ただ|a wonderful thing^Noun Phrase^core^素晴らしいことです|||
20|00:01:23.513|For years, John's wine business, like the California wine industry more broadly, was a success story.|長年にわたり、ジョンのワインビジネスは、より広範なカリフォルニアのワイン産業と同様に、成功物語でした。|For years^Prep Phrase^modifier^長年にわたり|John's wine business^Subject^core^ジョンのワインビジネスは|like the California wine industry more broadly^Prep Phrase^modifier^より広範なカリフォルニアのワイン産業のように|was a success story^V+C^core^成功物語でした|
21|00:01:30.271|Americans couldn't get enough of the pinots, the zinfandels, and the chardonnays that Sonoma is known for.|アメリカ人は、ソノマの名産であるピノ、ジンファンデル、シャルドネに夢中でした（十分に得られなかった）。|Americans couldn't get enough^S+V+O^core^アメリカ人は十分に得られませんでした（夢中でした）|of the pinots, the zinfandels, and the chardonnays^Prep Phrase^modifier^ピノ、ジンファンデル、そしてシャルドネを|that Sonoma is known for^Relative Clause^modifier^ソノマがそれで知られている（名産の）||
22|00:01:36.618|It's just a very special place for us to live here, raise our children here, and also be able to grow wine grapes and make wine.|ここに住み、子供を育て、さらにワイン用ブドウを栽培しワインを作ることができる、私たちにとって本当に特別な場所です。|It's just a very special place^S+V+C^core^それは本当に特別な場所です|for us to live here^Infinitive^modifier^私たちがここに住むための|raise our children here^Infinitive^modifier^ここで子供たちを育てるための|and also be able to grow wine grapes^Infinitive^modifier^そしてまたワイン用ブドウを栽培できるための|and make wine^Infinitive^modifier^そしてワインを作る（ための）
23|00:01:45.572|And, you know, our philosophy is share wine with family and friends over a great meal and make new friends.|そして、私たちの哲学は、素晴らしい食事と共に家族や友人とワインを分かち合い、新しい友人を作ることです。|And, you know^Connector^connector^そして、ご存知のように|our philosophy is^S+V^core^私たちの哲学は〜です|share wine^Infinitive(Bare)^core^ワインを分かち合うこと（です）|with family and friends^Prep Phrase^modifier^家族や友人と|over a great meal^Prep Phrase^modifier^素晴らしい食事を囲んで
24|00:01:53.180|That's what Sonoma County is.|それがソノマ郡という場所なのです。|That's^S+V^core^それが〜です|what Sonoma County is^Wh Clause^core^ソノマ郡というもの（の正体）|||
25|00:01:58.040|But this year, Sonoma County, along with the rest of California's renowned wine region, is drowning in troubles.|しかし今年、ソノマ郡は、他のカリフォルニアの有名なワイン産地と同様に、トラブルに溺れています。|But this year^Adverb^connector^しかし今年|Sonoma County^Subject^core^ソノマ郡は|along with the rest of California's renowned wine region^Prep Phrase^modifier^他のカリフォルニアの有名なワイン産地と同様に|is drowning in troubles^V+Prep^core^トラブルに溺れています（見舞われています）|
26|00:02:04.902|From political pressure to cultural trends to the weather.|政治的圧力から文化的トレンド、そして天候に至るまで。|From political pressure^Prep Phrase^modifier^政治的圧力から|to cultural trends^Prep Phrase^modifier^文化的トレンドへ|to the weather^Prep Phrase^modifier^（そして）天候に至るまで||
27|00:02:08.925|For John, it has meant the worst year he's had in a quarter century, with many of his grapes going unsold.|ジョンにとって、それは四半世紀で最悪の年を意味し、多くのブドウが売れ残ることになりました。|For John^Prep Phrase^modifier^ジョンにとって|it has meant^S+V^core^それは意味しました|the worst year he's had^Object+Relative^core^彼が経験した最悪の年を|in a quarter century^Prep Phrase^modifier^四半世紀の中で|with many of his grapes going unsold^Prep Phrase^modifier^彼のブドウの多くが売れ残った状態で
28|00:02:15.699|He stands to lose millions.|彼は数百万ドルを失う危機に瀕しています。|He stands to lose^S+V+Infinitive^core^彼は失う形勢にあります|millions^Object^core^数百万（ドル）を|||
29|00:02:17.871|As we headed into 2025, we had about 25% of our grapes that were not contracted.|2025年に向かう中で、私たちのブドウの約25%が契約されていない状態でした。|As we headed into 2025^Adverb Clause^modifier^私たちが2025年に向かう中で|we had^S+V^core^私たちにはありました|about 25% of our grapes^Object^core^ブドウの約25%が|that were not contracted^Relative Clause^modifier^契約されていない（状態の）|
30|00:02:25.385|And that was the first time in 25 years that that happened.|そしてそれは、25年間で初めて起こったことでした。|And that was^S+V^core^そしてそれは〜でした|the first time in 25 years^Complement^core^25年間で初めてのこと|that that happened^Relative Clause^modifier^それが起こった（のは）||
31|00:02:28.270|Oh, wow. And there's many other growers with the same pain, unfortunately.|ああ、なんと。そして残念なことに、同じ痛みを抱える生産者が他にもたくさんいます。|Oh, wow^Interjection^modifier^ああ、なんと|And there's^There+V^core^そして〜がいます|many other growers^Subject^core^他の多くの生産者が|with the same pain^Prep Phrase^modifier^同じ痛みを抱えた|unfortunately^Adverb^modifier^残念なことに
32|00:02:34.436|That pain is amounting to the worst period the California wine industry has faced since Prohibition.|その痛みは、禁酒法時代以来、カリフォルニアのワイン産業が直面している最悪の時期に相当します。|That pain is amounting to^S+V+Prep^core^その痛みは〜に達しています|the worst period^Object^core^最悪の時期に|the California wine industry has faced^Relative Clause^modifier^カリフォルニアワイン産業が直面した|since Prohibition^Prep Phrase^modifier^禁酒法以来||
33|00:02:40.780|As John put it, too much wine, not enough drinkers.|ジョンの言葉を借りれば、「ワインが多すぎて、飲み手が足りない」のです。|As John put it^Adverb Clause^modifier^ジョンが言ったように|too much wine^Noun Phrase^core^多すぎるワイン|not enough drinkers^Noun Phrase^core^十分ではない飲み手（飲み手が足りない）||
34|00:02:47.123|Welcome to The Journal, our show about money, business, and power.|『ザ・ジャーナル』へようこそ。これはお金、ビジネス、そして権力に関する私たちの番組です。|Welcome to The Journal^Greeting^core^『ザ・ジャーナル』へようこそ|our show^Noun Phrase^core^（これは）私たちの番組です|about money, business, and power^Prep Phrase^modifier^お金、ビジネス、そして権力についての||
35|00:02:51.233|I'm Jessica Mendoza. It's Thursday, December 4th.|私はジェシカ・メンドーサです。今日は12月4日、木曜日です。|I'm Jessica Mendoza^S+V+C^core^私はジェシカ・メンドーサです|It's Thursday, December 4th^S+V+C^core^12月4日木曜日です|||
36|00:03:00.496|Coming up on the show, why the cradle of American wine is in crisis.|この後の番組では、なぜアメリカワインの揺りかごが危機に瀕しているのかをお伝えします。|Coming up on the show^Participle^modifier^番組のこの後は|why the cradle of American wine^Subject Clause^core^なぜアメリカワインの揺りかご（発祥の地）が|is in crisis^V+Prep^core^危機にあるのか（についてです）||
37|00:03:14.080|This episode is brought to you by U.S. Bank.|このエピソードは、U.S. Bankの提供でお送りします。|This episode is brought to you^S+V(Passive)^core^このエピソードはあなたに届けられます|by U.S. Bank^Prep Phrase^modifier^U.S. Bankによって|||
38|00:03:17.022|With U.S. Bank Business Essentials, you get more than just a bank.|U.S. Bank Business Essentialsなら、単なる銀行以上のものを得られます。|With U.S. Bank Business Essentials^Prep Phrase^modifier^U.S. Bank Business Essentialsなら|you get^S+V^core^あなたは得ます|more than just a bank^Object^core^単なる銀行以上のものを||
39|00:03:20.764|You get a dedicated partner that provides you a powerful combo of checking and card payment processing with quick access to the money you've earned.|稼いだお金に素早くアクセスできる、小切手とカード決済処理の強力な組み合わせを提供する専任のパートナーを得られます。|You get a dedicated partner^S+V+O^core^あなたは専任のパートナーを得ます|that provides you^Relative Clause^modifier^あなたに提供してくれる|a powerful combo^Object^core^強力な組み合わせを|of checking and card payment processing^Prep Phrase^modifier^小切手とカード決済処理の|with quick access to the money you've earned^Prep Phrase^modifier^稼いだお金への素早いアクセスと共に
40|00:03:29.252|Proving that there's nothing as powerful as the power of us.|「私たち（US）」の力ほど強力なものはないことを証明しています。|Proving that^Participle^modifier^〜ということを証明しながら|there's nothing^There+V+S^core^何もありません|as powerful as^Adjective Phrase^modifier^〜ほど強力なものは|the power of us^Noun Phrase^core^「私たち」の力（ほど）|
41|00:03:32.979|Visit usbank.com today to learn more.|詳細はusbank.comをご覧ください。|Visit usbank.com today^Imperative^core^今日usbank.comを訪れてください|to learn more^Infinitive^modifier^もっと詳しく知るために|||
42|00:03:41.804|This episode is brought to you by PayPal.|このエピソードは、PayPalの提供でお送りします。|This episode is brought to you^S+V(Passive)^core^このエピソードはあなたに届けられます|by PayPal^Prep Phrase^modifier^PayPalによって|||
43|00:03:44.086|Now through December 8th, you can get 20% cash back when you pay in four with PayPal.|今から12月8日まで、PayPalの4回払いを利用すると20%のキャッシュバックが得られます。|Now through December 8th^Prep Phrase^modifier^今から12月8日まで|you can get^S+V^core^あなたは得ることができます|20% cash back^Object^core^20%のキャッシュバックを|when you pay in four^Adverb Clause^modifier^あなたが4回払いで支払う時|with PayPal^Prep Phrase^modifier^PayPalを使って
44|00:03:48.969|No fees, no interest.|手数料なし、利息なし。|No fees^Noun Phrase^core^手数料なし|no interest^Noun Phrase^core^利息なし|||
45|00:03:50.716|This limited time offer is perfect for the Black Friday and Cyber Monday deals you've been eyeing.|この期間限定オファーは、あなたが注目していたブラックフライデーやサイバーマンデーの取引に最適です。|This limited time offer^Subject^core^この期間限定オファーは|is perfect^V+C^core^最適です|for the Black Friday and Cyber Monday deals^Prep Phrase^modifier^ブラックフライデーやサイバーマンデーの取引に|you've been eyeing^Relative Clause^modifier^あなたが（ずっと）注目していた|
46|00:04:17.704|The wine we make, we sell from the farming company to the wineries.|私たちが作るワインは、農業会社からワイナリーへと販売しています。|The wine we make^Object+Relative^core^私たちが作るワインを|we sell^S+V^core^私たちは売ります|from the farming company^Prep Phrase^modifier^農業会社から|to the wineries^Prep Phrase^modifier^ワイナリーへ|
47|00:04:22.404|California wine accounts for roughly eight of every ten bottles made in the U.S.|カリフォルニアワインは、米国で作られるワイン10本につきおよそ8本を占めています。|California wine accounts for^S+V+Prep^core^カリフォルニアワインは〜を占めます|roughly eight of every ten bottles^Object^core^10本につきおよそ8本を|made in the U.S.^Participle^modifier^米国で作られる||
48|00:04:27.225|And back in August, just as the harvest was starting, our colleague Laura Cooper found herself in the middle of a vineyard in Sonoma County.|そして8月、収穫が始まったばかりの頃、同僚のローラ・クーパーはソノマ郡のブドウ畑の真ん中にいました。|And back in August^Prep Phrase^modifier^そして8月に遡ると|just as the harvest was starting^Adverb Clause^modifier^ちょうど収穫が始まった時に|our colleague Laura Cooper^Subject^core^同僚のローラ・クーパーは|found herself^V+O^core^彼女自身を見つけました（〜にいました）|in the middle of a vineyard^Prep Phrase^modifier^ブドウ畑の真ん中に
49|00:04:35.865|I haven't seen any of these grapes. Can I take one?|これらのブドウをまだ見ていませんでした。一つ取ってもいいですか？|I haven't seen^S+V^core^私は見ていませんでした|any of these grapes^Object^core^これらのブドウのどれも|Can I take one?^Aux+S+V+O^core^一つ取ってもいいですか？||
50|00:04:40.725|There, she tasted Chardonnay grapes warmed by the sun.|そこで彼女は、太陽に温められたシャルドネのブドウを味わいました。|There^Adverb^modifier^そこで|she tasted^S+V^core^彼女は味わいました|Chardonnay grapes^Object^core^シャルドネのブドウを|warmed by the sun^Participle^modifier^太陽に温められた|
51|00:04:49.581|It was probably the most beautiful business trip I've ever taken. Truly.|おそらく私が今まで行った中で最も美しい出張でした。本当に。|It was probably^S+V+Adv^core^それはおそらく〜でした|the most beautiful business trip^Complement^core^最も美しい出張|I've ever taken^Relative Clause^modifier^私が今までに経験した|Truly^Adverb^modifier^本当に|
52|00:04:55.545|You know, I was in pickup trucks.|そうですね、私はピックアップトラックに乗っていました。|You know^Interjection^modifier^そうですね（あのね）|I was in pickup trucks^S+V+Prep^core^私はピックアップトラックに乗っていました|||
53|00:04:56.904|I was being dropped off in the middle of fields to see the grapes that weren't sold, to eat them off the vine.|売れ残ったブドウを見るため、そしてツルから直接食べるために、畑の真ん中で降ろされました。|I was being dropped off^S+V(Passive)^core^私は降ろされていました|in the middle of fields^Prep Phrase^modifier^畑の真ん中で|to see the grapes^Infinitive^modifier^ブドウを見るために|that weren't sold^Relative Clause^modifier^売られなかった（ブドウを）|to eat them off the vine^Infinitive^modifier^ツルからそれらを食べるために
54|00:05:05.406|One more translucent. Mmm, you're right, it tastes different. Sweeter.|もう少し透き通ったやつ。うん、本当だ、味が違う。より甘い。|One more translucent^Noun Phrase^core^もう少し透き通ったやつ|Mmm, you're right^S+V+C^core^うん、あなたの言う通りです|it tastes different^S+V+C^core^それは違う味がします|Sweeter^Adjective^core^（より）甘いです|
55|00:05:11.971|Beautiful, beautiful weather, blue skies, all this beautiful wine, and a lot of it was grapes that were going to die.|美しく素晴らしい天気、青い空、これら全ての美しいワイン、そしてその多くは枯れていく運命にあるブドウでした。|Beautiful, beautiful weather^Noun Phrase^core^美しく素晴らしい天気|blue skies^Noun Phrase^core^青い空|all this beautiful wine^Noun Phrase^core^これら全ての美しいワイン|and a lot of it was grapes^S+V+C^core^そしてその多くはブドウでした|that were going to die^Relative Clause^modifier^（これから）枯れていく
56|00:05:22.538|That's because beneath all that beauty and abundance is an industry in panic.|なぜなら、その全ての美しさと豊かさの下には、パニックに陥っている産業があるからです。|That's because^S+V+Conj^core^それは〜だからです|beneath all that beauty and abundance^Prep Phrase^modifier^その全ての美しさと豊かさの下に|is^Verb^core^あります|an industry in panic^Subject+Mod^core^パニック状態の産業が|
57|00:05:28.740|Why, why did you make this trip to Sonoma?|なぜ、なぜソノマへこの旅をしたのですか？|Why, why^Interrogative^modifier^なぜ、なぜ|did you make this trip^Aux+S+V+O^core^あなたはこの旅をしたのですか|to Sonoma^Prep Phrase^modifier^ソノマへ||
58|00:05:32.302|I went to Sonoma with the idea that I really wanted to tell the story of how winemakers were pivoting.|私は、ワインメーカーたちがどのように方向転換しているかという物語を伝えたいという考えを持ってソノマに行きました。|I went to Sonoma^S+V+Prep^core^私はソノマへ行きました|with the idea that^Prep Phrase^modifier^〜という考えを持って|I really wanted to tell the story^S+V+O^core^私は本当に物語を伝えたかった|of how winemakers were pivoting^Prep Phrase^modifier^どのようにワインメーカーが方向転換しているかの|
59|00:05:39.584|But what I really found was kind of a story of survival.|しかし、私が実際に見つけたのは、ある種のサバイバルの物語でした。|But^Conjunction^connector^しかし|what I really found^Subject Clause^core^私が本当に見つけたものは|was^Verb^core^〜でした|kind of a story of survival^Complement^core^ある種のサバイバルの物語|
60|00:05:42.788|People wanting to break even. People wanting to really just make it through this year and figure out the next harvest.|損益分岐点に達したいと願う人々。今年を何とか乗り切り、次の収穫をどうするか考えたいと願う人々です。|People wanting to break even^Noun Phrase+Participle^core^損益分岐点（トントン）になりたい人々|People wanting to really just make it through^Noun Phrase+Participle^core^本当にただ切り抜けたいと願う人々|this year^Noun^modifier^今年を|and figure out the next harvest^Infinitive^modifier^そして次の収穫を理解（解決）するために|
61|00:05:51.920|Just four years ago, in 2021, the California wine industry made an estimated $53.5 billion in retail sales.|ほんの4年前の2021年、カリフォルニアのワイン産業は小売売上高で推定535億ドルを記録しました。|Just four years ago^Adverb^modifier^ほんの4年前|in 2021^Prep Phrase^modifier^2021年に|the California wine industry made^S+V^core^カリフォルニアのワイン産業は生み出しました|an estimated $53.5 billion^Object^core^推定535億ドルを|in retail sales^Prep Phrase^modifier^小売売上で
62|00:06:00.709|It was the culmination of America's decades-long love affair with wine.|それは、アメリカの何十年にもわたるワインへの愛着の集大成でした。|It was^S+V^core^それは〜でした|the culmination^Complement^core^集大成|of America's decades-long love affair^Prep Phrase^modifier^アメリカの数十年にわたる熱愛の|with wine^Prep Phrase^modifier^ワインとの|
63|00:06:04.988|There were two moments in time that the folks in Sonoma pointed out as being really important to their industry.|ソノマの人々が業界にとって本当に重要だったと指摘する瞬間が、過去に2回ありました。|There were^There+V^core^ありました|two moments in time^Subject^core^（過去に）2つの瞬間が|that the folks in Sonoma pointed out^Relative Clause^modifier^ソノマの人々が指摘した|as being really important^Prep Phrase^modifier^本当に重要であるとして|to their industry^Prep Phrase^modifier^彼らの業界にとって
64|00:06:10.930|The first was the French paradox.|1つ目は「フレンチ・パラドックス」です。|The first was^S+V^core^1つ目は〜でした|the French paradox^Complement^core^フレンチ・パラドックス（フランス人の逆説）|||
65|00:06:14.031|The French diet, the paradox, has begun to intrigue foreign researchers.|「フレンチ・ダイエット（フランス人の食生活）」、このパラドックスが海外の研究者の興味をそそり始めました。|The French diet, the paradox^Subject^core^フランス人の食生活、そのパラドックスは|has begun to intrigue^V+Infinitive^core^興味をそそり始めました|foreign researchers^Object^core^海外の研究者を||
66|00:06:18.915|Which was something that was aired on 60 Minutes in the early 90s that essentially implied that drinking wine could be healthy.|これは90年代初頭に『60ミニッツ』で放送されたもので、基本的にワインを飲むことは健康的であり得ると示唆していました。|Which was something^S+V+C^core^それは（〜という）ものでした|that was aired on 60 Minutes^Relative Clause^modifier^『60ミニッツ』で放送された|in the early 90s^Prep Phrase^modifier^90年代初頭に|that essentially implied^Relative Clause^modifier^本質的に示唆していた|that drinking wine could be healthy^Noun Clause^core^ワインを飲むことは健康的であり得ると
67|00:06:25.961|There has been for years the belief by doctors in many countries that alcohol, in particular red wine, reduces the risk of heart disease.|長年にわたり多くの国の医師たちの間では、アルコール、特に赤ワインは心臓病のリスクを減らすという信念がありました。|There has been for years^There+V+Adv^core^長年にわたりありました|the belief by doctors^Subject^core^医師たちによる信念が|in many countries^Prep Phrase^modifier^多くの国の|that alcohol reduces^Appositive Clause^core^アルコールが減らすという（信念）|the risk of heart disease^Object^core^心臓病のリスクを
68|00:06:34.024|So people took that as an opportunity to buy more wine.|そこで人々は、これをワインをもっと買う良い機会だと捉えました。|So^Conjunction^connector^そこで|people took that^S+V+O^core^人々はそれを捉えました|as an opportunity^Prep Phrase^modifier^機会として|to buy more wine^Infinitive^modifier^もっとワインを買うための|
69|00:06:38.411|And then also on top of that, in 2004, there was this movie called Sideways.|そしてさらにその上、2004年には『サイドウェイ』という映画がありました。|And then also on top of that^Connector^connector^そしてさらにその上に|in 2004^Prep Phrase^modifier^2004年に|there was^There+V^core^ありました|this movie called Sideways^Subject^core^『サイドウェイ』と呼ばれるこの映画が|
70|00:06:43.896|Yes, Paul Giamatti, two buddies road tripping through wine country.|そう、ポール・ジアマッティ、そしてワインカントリーを旅する二人の親友の物語ですね。|Yes, Paul Giamatti^Noun Phrase^core^そう、ポール・ジアマッティ|two buddies road tripping^Noun Phrase^core^旅をする二人の親友|through wine country^Prep Phrase^modifier^ワインカントリー（産地）を通って||
71|00:06:50.021|First thing, hold the glass up and examine the wine against the light.|まず第一に、グラスを持ち上げて、光にかざしてワインをよく見てください。|First thing^Adverb^modifier^まず第一に|hold the glass up^Imperative^core^グラスを持ち上げて|and examine the wine^Imperative^core^そしてワインをよく見て|against the light^Prep Phrase^modifier^光にかざして（対比させて）|
72|00:06:53.927|You're looking for color and clarity.|色と透明度を確認するのです。|You're looking for^S+V+Prep^core^あなたは探しているのです（確認するのです）|color and clarity^Object^core^色と透明度を|||
73|00:06:58.014|But that really helped bring California wine country into the conversation.|しかし、それがカリフォルニアのワインカントリーを話題の中心にするのに本当に役立ちました。|But that really helped bring^S+V+O(Infinitive)^core^しかしそれは持ち込むのに本当に役立ちました|California wine country^Object^core^カリフォルニアのワインカントリーを|into the conversation^Prep Phrase^modifier^会話（話題）の中に||
74|00:07:01.357|It became more of a tourist destination, like California as a whole.|カリフォルニア全体のように、そこはより観光地化しました。|It became^S+V+C^core^それは〜になりました|more of a tourist destination^Complement^core^より観光地的な場所に|like California as a whole^Prep Phrase^modifier^カリフォルニア全体のように||
75|00:07:05.641|California wine sales stayed pretty strong through the next couple of decades and hit a peak early in the pandemic.|カリフォルニアワインの売上はその後20年ほど好調を維持し、パンデミック初期にピークを迎えました。|California wine sales stayed^S+V+C^core^カリフォルニアワインの売上は（強く）留まりました|pretty strong^Adjective^core^かなり好調に|through the next couple of decades^Prep Phrase^modifier^その後の数十年間|and hit a peak^V+O^core^そしてピークに達しました|early in the pandemic^Prep Phrase^modifier^パンデミックの初期に
76|00:07:11.565|when a lot more people were drinking at home.|その頃は、家で飲む人がずっと増えていました。|when^Conjunction^connector^その時は|a lot more people^Subject^core^ずっと多くの人々が|were drinking^V^core^飲んでいました|at home^Prep Phrase^modifier^家で|
77|00:07:14.964|But then, after that knockout year of 2021, the buzz faded.|しかし、2021年という記録的な年の後、その熱狂は消え去りました。|But then^Connector^connector^しかしその後|after that knockout year of 2021^Prep Phrase^modifier^2021年という素晴らしい年の後に|the buzz faded^S+V^core^熱狂（話題）は消えました||
78|00:07:19.168|The hangover hit. It started the following year.|二日酔いが襲ってきたのです。それは翌年に始まりました。|The hangover hit^S+V^core^二日酔いが襲いました|It started^S+V^core^それは始まりました|the following year^Noun^modifier^翌年に||
79|00:07:23.276|2022 saw Americans buying less wine than in 2021, according to an industry report card.|業界のレポートによると、2022年にはアメリカ人のワイン購入量が2021年よりも減少しました。|2022 saw^S+V^core^2022年は（〜という事態を）見ました|Americans buying less wine^Object+Participle^core^アメリカ人がワインを買う量が減っているのを|than in 2021^Comparison^modifier^2021年よりも|according to an industry report card^Prep Phrase^modifier^業界の成績表（レポート）によると|
80|00:07:29.596|The demand was shrinking, but the wine supply wasn't.|需要は縮小していましたが、ワインの供給はそうではありませんでした。|The demand was shrinking^S+V^core^需要は縮小していました|but^Conjunction^connector^しかし|the wine supply wasn't^S+V^core^ワインの供給はそうではありませんでした（縮小しませんでした）||
81|00:07:33.658|It really became a supply-demand imbalance.|それはまさに需給の不均衡となりました。|It really became^S+V+C^core^それは本当に〜になりました|a supply-demand imbalance^Complement^core^需給の不均衡（バランスの崩れ）|||
82|00:07:37.166|The sales had dropped, people were drinking less, and there were all these grapes and really nowhere for them to go.|売上は落ち、人々は飲む量を減らし、大量のブドウが残されましたが、行き場はどこにもありませんでした。|The sales had dropped^S+V^core^売上は落ちていました|people were drinking less^S+V^core^人々は飲む量を減らしていました|and there were all these grapes^There+V+S^core^そしてこれら全てのブドウがありました|and really nowhere for them to go^Noun Phrase^core^そしてそれらが行く場所は本当にどこにもありませんでした|
83|00:07:46.151|Vines take years to produce usable fruit, meaning growers often rely on old demand to forecast how much to plant.|ブドウの木が使える果実をつけるまでには何年もかかるため、生産者はどれだけ植えるかを予測するのに、しばしば過去の需要に頼ることになります。|Vines take years^S+V+O^core^ブドウの木は何年もかかります|to produce usable fruit^Infinitive^modifier^使える果実を生産するために|meaning^Participle^connector^つまり〜を意味します|growers often rely on old demand^S+V+Prep^core^生産者はしばしば古い需要に頼ることを|to forecast how much to plant^Infinitive^modifier^どれだけ植えるかを予測するために
