ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5|チャンク6
11|00:00:59.750|With Grammarly, Mail, and Coda coming together, you get proactive help across your workflow, so you can outsmart the chaos.|Grammarly、Mail、Codaが連携することで、ワークフロー全体で先回りのサポートが得られ、混沌を乗り越えることができます。|With Grammarly, Mail, and Coda coming together^Prep Phrase+Participle^modifier^Grammarly、Mail、Codaが一緒になることで|you get proactive help^S+V+O^core^あなたは先回りの助けを得ます|across your workflow^Prep Phrase^modifier^ワークフロー全体で|so^Conjunction^connector^その結果|you can outsmart the chaos^S+V+O^core^あなたは混沌を出し抜く（賢く処理する）ことができます||
12|00:01:06.698|Experience AI that proactively helps you go from to-do to done faster.|To-Doリストから完了までより早く進めるよう、積極的にサポートするAIを体験してください。|Experience AI^Imperative+O^core^AIを体験してください|that proactively helps you^Relative Clause^connector^あなたを積極的に助ける|go from to-do to done^Infinitive Phrase^core^「やること」から「完了」へ進むのを|faster^Adverb^modifier^より速く||
13|00:01:11.995|Unleash your superhuman potential today. Learn more at superhuman.com/podcast.|今日、あなたの超人的な可能性を解き放ちましょう。詳しくはsuperhuman.com/podcastをご覧ください。|Unleash your superhuman potential^Imperative+O^core^あなたの超人的な可能性を解き放て|today^Adverb^modifier^今日|Learn more^Imperative^core^詳細を学ぶ|at superhuman.com/podcast^Prep Phrase^modifier^superhuman.com/podcastで||
14|00:01:21.870|This message comes from Viking, committed to exploring the world in comfort.|このメッセージは、快適な世界探検に尽力するVikingから送られました。|This message comes^S+V^core^このメッセージは来ています|from Viking^Prep Phrase^modifier^Vikingから|committed to exploring the world^Participle Phrase^modifier^世界を探検することにコミットしている|in comfort^Prep Phrase^modifier^快適に||
15|00:01:26.290|Journey through the heart of Europe on an elegant Viking longship with thoughtful service, destination-focused dining, and cultural enrichment on board and on shore.|行き届いたサービス、目的地に焦点を当てた食事、船上や陸上での文化的な豊かさを備えたエレガントなVikingロングシップで、ヨーロッパの中心を旅しましょう。|Journey through the heart of Europe^Imperative+Prep^core^ヨーロッパの中心を旅しましょう|on an elegant Viking longship^Prep Phrase^modifier^エレガントなVikingロングシップに乗って|with thoughtful service^Prep Phrase^modifier^思いやりのあるサービスと共に|destination-focused dining^Noun Phrase^modifier^目的地に特化した食事（と共に）|and cultural enrichment^Noun Phrase^connector^そして文化的な豊かさ（と共に）|on board and on shore^Prep Phrase^modifier^船上でも陸上でも||
16|00:01:36.162|And every Viking voyage is all-inclusive with no children and no casinos. Discover more at viking.com.|そして、すべてのVikingの航海はオールインクルーシブで、子供やカジノはありません。詳しくはviking.comをご覧ください。|And^Conjunction^connector^そして|every Viking voyage is all-inclusive^S+V+C^core^全てのVikingの航海はオールインクルーシブです|with no children and no casinos^Prep Phrase^modifier^子供もカジノもなしで|Discover more^Imperative^core^もっと発見してください|at viking.com^Prep Phrase^modifier^viking.comで||
17|00:01:44.474|This message comes from Mint Mobile. Starting at $15 a month, make the switch at mintmobile.com/switch.|このメッセージはMint Mobileから送られました。月額15ドルから。mintmobile.com/switchで乗り換えましょう。|This message comes^S+V^core^このメッセージは来ています|from Mint Mobile^Prep Phrase^modifier^Mint Mobileから|Starting at $15 a month^Participle Phrase^modifier^月額15ドルから始めて|make the switch^Imperative+O^core^切り替えを行ってください|at mintmobile.com/switch^Prep Phrase^modifier^mintmobile.com/switchで||
18|00:01:51.659|$45 upfront payment for three months. 5GB plan equivalent to $15 a month.|3ヶ月分で45ドルの前払い。月額15ドル相当の5GBプランです。|$45 upfront payment^Noun Phrase^core^45ドルの前払い|for three months^Prep Phrase^modifier^3ヶ月分の|5GB plan equivalent^Noun Phrase^core^5GBプランは相当します|to $15 a month^Prep Phrase^modifier^月額15ドルに||
19|00:01:56.966|Taxes and fees extra. First three months only. See terms.|税金と手数料は別途かかります。最初の3ヶ月のみ。利用規約をご覧ください。|Taxes and fees extra^Noun Phrase^core^税金と手数料は別途|First three months only^Noun Phrase^modifier^最初の3ヶ月のみ|See terms^Imperative+O^core^規約を見てください|||
20|00:02:01.170|This message comes from Smartwool. Merino is the ultimate gift for everyone on your list.|このメッセージはSmartwoolから送られました。メリノはリストに載っている全ての人への究極の贈り物です。|This message comes^S+V^core^このメッセージは来ています|from Smartwool^Prep Phrase^modifier^Smartwoolから|Merino is the ultimate gift^S+V+C^core^メリノは究極の贈り物です|for everyone on your list^Prep Phrase^modifier^あなたのリストにいる全ての人にとって||
21|00:02:06.537|And when you gift it up, they cozy up. Shop the Smartwool gift guide with free shipping and free returns.|プレゼントすれば、彼らは暖かく過ごせます。送料無料・返品無料のSmartwoolギフトガイドでお買い物を。|And when you gift it up^Conjunction+S+V+O^connector^そしてあなたがそれを贈る時|they cozy up^S+V^core^彼らはぬくぬくとします（快適になります）|Shop the Smartwool gift guide^Imperative+O^core^Smartwoolギフトガイドで買い物をしてください|with free shipping and free returns^Prep Phrase^modifier^送料無料と返品無料で||
22|00:02:16.146|Some House Republicans want to force a vote that would extend Obamacare health insurance subsidies that are set to expire in less than three weeks.|下院共和党の一部は、3週間以内に期限切れとなるオバマケアの医療保険補助金を延長する投票を強行しようとしています。|Some House Republicans want to force a vote^S+V+Infinitive+O^core^下院共和党の一部は投票を強行したいと考えています|that would extend Obamacare health insurance subsidies^Relative Clause^connector^オバマケアの医療保険補助金を延長するような（投票を）|that are set to expire^Relative Clause^connector^期限切れになる予定の|in less than three weeks^Prep Phrase^modifier^3週間未満で||
23|00:02:23.723|They're warning their own party's leaders that Republicans risk losing their majority in next year's election if they let subsidies expire without a replacement.|彼らは、代替案なしに補助金を期限切れにさせれば、来年の選挙で共和党が過半数を失うリスクがあると党指導部に警告しています。|They're warning their own party's leaders^S+V+O^core^彼らは自党の指導者たちに警告しています|that Republicans risk losing their majority^Noun Clause^connector^共和党が過半数を失うリスクがあることを|in next year's election^Prep Phrase^modifier^来年の選挙で|if they let subsidies expire^Condition^connector^もし彼らが補助金を期限切れにさせたら|without a replacement^Prep Phrase^modifier^代替案なしで|
24|00:02:33.289|So far, House leaders have not scheduled a vote. The Senate has.|これまでのところ、下院指導部は投票を予定していません。上院は予定しています。|So far^Adverb^modifier^これまでのところ|House leaders have not scheduled a vote^S+V+O^core^下院指導部は投票を予定していません|The Senate has^S+V^core^上院はしました（予定しました）|||
25|00:02:37.181|Senators today consider two health policy plans aimed at reducing health care costs for those who buy their insurance on healthcare.gov.|上院議員たちは今日、healthcare.govで保険を購入する人々の医療費削減を目的とした2つの医療政策案を審議します。|Senators today consider^S+Adverb+V^core^上院議員たちは今日審議します|two health policy plans^Object^core^2つの医療政策案を|aimed at reducing health care costs^Participle Phrase^modifier^医療費を削減することを目的とした|for those who buy their insurance^Prep Phrase^modifier^保険を購入する人々のために|on healthcare.gov^Prep Phrase^modifier^healthcare.govで|
26|00:02:46.477|NPR's Selena Simmons-Duffin is here to explain. Good morning, Selena.|NPRのセレナ・シモンズ＝ダフィンが解説します。おはよう、セレナ。|NPR's Selena Simmons-Duffin is here^S+V+Adverb^core^NPRのセレナ・シモンズ＝ダフィンがここにいます|to explain^Infinitive^modifier^説明するために|Good morning, Selena^Greeting^connector^おはよう、セレナ|||
27|00:02:49.979|Morning, Michelle. So start us off with some quick background about the issue here, if you would.|おはよう、ミシェル。では、この問題の簡単な背景から説明してもらえますか？|Morning, Michelle^Greeting^connector^おはよう、ミシェル|So start us off^Imperative^core^では私たち（の話）を始めてください|with some quick background^Prep Phrase^modifier^簡単な背景説明で|about the issue here^Prep Phrase^modifier^ここでの問題について|if you would^Condition^connector^もしよろしければ|
28|00:02:53.965|Yeah, so these are health insurance plans that individuals can go and buy if they don't get health benefits at work.|ええ、これらは職場で医療給付を受けられない個人が購入できる医療保険プランです。|Yeah, so these are health insurance plans^S+V+C^core^ええ、これらは医療保険プランです|that individuals can go and buy^Relative Clause^connector^個人が行って購入できる|if they don't get health benefits^Condition^connector^もし彼らが医療給付を得られないなら|at work^Prep Phrase^modifier^職場で||
29|00:02:59.632|So we're talking about small business owners and workers, farmers, ranchers, entrepreneurs.|つまり、中小企業の経営者や従業員、農家、牧場主、起業家などのことです。|So we're talking about^S+V+Prep^core^つまり私たちは～について話しています|small business owners and workers^Object^core^中小企業の経営者や労働者|farmers, ranchers, entrepreneurs^Object^core^農家、牧場主、起業家（について）|||
30|00:03:05.538|24 million people were enrolled in these Obamacare plans this year, and almost all of them got these generous federal subsidies that came in during the pandemic to help keep their premium costs really affordable.|今年は2,400万人がこれらのオバマケアプランに加入しており、そのほぼ全員が、パンデミック中に導入された手厚い連邦補助金を受け取り、保険料を非常に安く抑えることができました。|24 million people were enrolled^S+V^core^2400万人が登録していました|in these Obamacare plans this year^Prep Phrase^modifier^今年これらのオバマケアプランに|and almost all of them got^Conjunction+S+V^core^そして彼らのほぼ全員が得ました|these generous federal subsidies^Object^core^これらの手厚い連邦補助金を|that came in during the pandemic^Relative Clause^connector^パンデミック中に入ってきた（導入された）|to help keep their premium costs really affordable^Infinitive Phrase^modifier^保険料を本当に手頃に保つのを助けるために
31|00:03:18.639|$10 a month for many people. Those enhanced subsidies expire in a matter of weeks.|多くの人にとって月額10ドルです。これらの拡充された補助金は数週間で期限切れになります。|$10 a month^Noun Phrase^core^月額10ドル|for many people^Prep Phrase^modifier^多くの人にとって|Those enhanced subsidies expire^S+V^core^それらの拡充された補助金は期限切れになります|in a matter of weeks^Prep Phrase^modifier^数週間のうちに|||
32|00:03:24.301|So many people are looking at way higher premium costs.|そのため、多くの人々がはるかに高い保険料コストに直面しようとしています。|So many people are looking at^S+V+Prep^core^そのため多くの人々は～を見ています（直面しています）|way higher premium costs^Object^core^はるかに高い保険料コスト（に）||||
33|00:03:27.879|On average, premium costs will double, but for some people, it'll be even higher than that.|平均して保険料は2倍になりますが、一部の人にとってはそれ以上になります。|On average^Adverb^modifier^平均して|premium costs will double^S+V^core^保険料は倍になるでしょう|but for some people^Conjunction+Prep^connector^しかし一部の人にとっては|it'll be even higher than that^S+V+C^core^それはそれ以上に高くなるでしょう||
34|00:03:32.622|And when you say higher than that, what does that look like?|それ以上と言うと、具体的にはどのような感じですか？|And when you say higher than that^Conjunction+S+V+O^connector^そしてあなたが「それ以上」と言う時|what does that look like?^Wh-Question^core^それはどのように見えますか（どんな感じですか）？||||
35|00:03:35.810|Yeah, so I want you to meet Ellen Allen of Charleston, West Virginia. I talked to her first over the summer.|ええ、ウェストバージニア州チャールストンのエレン・アレンさんを紹介します。今年の夏に初めて彼女と話しました。|Yeah, so I want you to meet^S+V+O+Infinitive^core^ええ、私はあなたに会ってほしい|Ellen Allen of Charleston, West Virginia^Object^core^ウェストバージニア州チャールストンのエレン・アレンに|I talked to her first^S+V+Prep+O^core^私は最初に彼女と話しました|over the summer^Prep Phrase^modifier^夏の間（夏に）||
36|00:03:41.778|She's 64 years old and was expecting her $500 a month plan to go up dramatically and she was raiding her retirement savings to prepare for that increase.|彼女は64歳で、月500ドルのプランが劇的に値上がりすると予想しており、その増額に備えて退職後の貯蓄を取り崩していました。|She's 64 years old^S+V+C^core^彼女は64歳です|and was expecting her $500 a month plan^Conjunction+V+O^core^そして彼女の月500ドルのプランが～と予想していました|to go up dramatically^Infinitive^modifier^劇的に値上がりすることを|and she was raiding her retirement savings^Conjunction+S+V+O^core^そして彼女は退職貯蓄を襲って（取り崩して）いました|to prepare for that increase^Infinitive^modifier^その増額に備えるために|
37|00:03:51.691|And when I reached her yesterday, she told me she'd enrolled in a plan.|昨日彼女に連絡を取ったところ、あるプランに加入したと教えてくれました。|And when I reached her yesterday^Conjunction+S+V+O^connector^そして昨日私が彼女に連絡した時|she told me^S+V+O^core^彼女は私に言いました|she'd enrolled in a plan^Noun Clause^core^彼女はあるプランに加入したと|||
38|00:03:55.475|A bronze plan without vision and dental with a monthly premium of $1,967.50.|視科と歯科が含まれていないブロンズプランで、月額保険料は1,967ドル50セントです。|A bronze plan^Noun Phrase^core^（それは）ブロンズプランです|without vision and dental^Prep Phrase^modifier^視科と歯科なしの|with a monthly premium^Prep Phrase^modifier^月額保険料が～の|of $1,967.50^Prep Phrase^modifier^1,967ドル50セントの||
39|00:04:04.826|So her premium for 2026 is four times this year's premium, nearly $1,500 more every single month for a plan that covers less.|つまり、彼女の2026年の保険料は今年の4倍で、カバー範囲が狭いプランにもかかわらず、毎月1,500ドル近く高くなります。|So her premium for 2026^Subject^core^つまり彼女の2026年の保険料は|is four times this year's premium^V+C^core^今年の保険料の4倍です|nearly $1,500 more every single month^Noun Phrase^modifier^毎月1500ドル近く多く（払う）|for a plan that covers less^Prep Phrase^modifier^よりカバー範囲の狭いプランに対して||
40|00:04:15.014|So Ellen Allen is going to be paying that. Unless Congress steps in and changes the law, what could that look like?|エレン・アレンさんはそれを支払うことになります。議会が介入して法律を変えない限りですが、それはどのような展開になりそうですか？|So Ellen Allen is going to be paying that^S+V+O^core^だからエレン・アレンはそれを支払うことになります|Unless Congress steps in^Condition^connector^議会が介入しない限り|and changes the law^Conjunction+V+O^connector^そして法律を変えない（限り）|what could that look like?^Wh-Question^core^それはどのようなものになりそうですか？||
41|00:04:21.786|Senate Democrats are expected to vote on a bill today that would extend the enhanced subsidies for three years.|上院民主党は今日、拡充された補助金を3年間延長する法案について投票を行う予定です。|Senate Democrats are expected to vote^S+V+Infinitive^core^上院民主党は投票すると予想されています|on a bill today^Prep Phrase^modifier^今日ある法案について|that would extend the enhanced subsidies^Relative Clause^connector^拡充された補助金を延長するような（法案）|for three years^Prep Phrase^modifier^3年間||
42|00:04:27.505|So that would bring premium costs down to about where they were this past year.|そうすれば、保険料コストは昨年と同じくらいの水準まで下がることになります。|So that would bring premium costs down^S+V+O+Adverb^core^そうすれば保険料コストを下げるでしょう|to about where they were^Prep Phrase^modifier^それらがあった（水準の）あたりまで|this past year^Time Adverb^modifier^この去った1年（昨年）|||
43|00:04:31.247|The bill would also extend open enrollment until May of next year and do several other things like allowing automatic renewals and renewing funding for people who help you sign up for coverage.|この法案はまた、来年5月まで公開登録期間を延長し、自動更新の許可や、加入手続きを支援する人々への資金提供の更新など、他にもいくつかの措置を講じるものです。|The bill would also extend open enrollment^S+V+O^core^その法案はまた公開登録を延長するでしょう|until May of next year^Prep Phrase^modifier^来年の5月まで|and do several other things^Conjunction+V+O^core^そして他のいくつかのことを行います|like allowing automatic renewals^Prep Phrase^modifier^自動更新を許可するような|and renewing funding^Conjunction+Gerund^modifier^そして資金提供を更新すること（のような）|for people who help you sign up for coverage^Prep Phrase^modifier^保険加入を助けてくれる人々のための
44|00:04:41.935|Republicans don't like this plan. They say it's too expensive, it's driving health costs up, and they point to reports of fraud to say the whole system is flawed.|共和党はこの計画を好ましく思っていません。費用がかかりすぎ、医療費を押し上げていると主張し、不正の報告を指摘してシステム全体に欠陥があると述べています。|Republicans don't like this plan^S+V+O^core^共和党はこの計画が好きではありません|They say it's too expensive^S+V+C^core^彼らはそれは高すぎると言います|it's driving health costs up^S+V+O^core^それは医療費を押し上げている（と）|and they point to reports of fraud^Conjunction+S+V+Prep+O^core^そして彼らは詐欺の報告を指摘します|to say the whole system is flawed^Infinitive^modifier^システム全体に欠陥があると言うために|
45|00:04:50.651|Well, but it seems like the Republicans took a while to coalesce around an alternative. Eventually they did, at least on the Senate side.|ええ、でも共和党が代替案でまとまるまでには時間がかかったようですね。最終的には、少なくとも上院側ではまとまりました。|Well, but it seems like^Connector^connector^ええ、でも～のように見えます|the Republicans took a while^S+V+O^core^共和党はしばらく時間がかかりました|to coalesce around an alternative^Infinitive^modifier^代替案でまとまるのに|Eventually they did^Adverb+S+V^core^最終的に彼らはしました（まとまりました）|at least on the Senate side^Prep Phrase^modifier^少なくとも上院側では|
46|00:04:58.274|Yeah, so it would not address those rising premium costs directly. It would instead put taxpayer dollars into health savings accounts for some enrollees.|ええ、つまり上昇する保険料コストに直接対処するものではありません。その代わり、一部の加入者の医療貯蓄口座に税金を投入するものです。|Yeah, so it would not address^S+V+O^core^ええ、つまりそれは対処しないでしょう|those rising premium costs directly^Object+Adverb^core^それらの上昇する保険料コストに直接|It would instead put taxpayer dollars^S+V+O^core^それは代わりに税金を投入するでしょう|into health savings accounts^Prep Phrase^modifier^医療貯蓄口座（HSA）へ|for some enrollees^Prep Phrase^modifier^一部の加入者のために|
47|00:05:07.420|$1,000 for people under age 50 and $1,500 for people between 50 and 64. That money could not go towards premiums, but it could go to other kinds of health expenses like co-pays or over-the-counter medications.|50歳未満には1,000ドル、50歳から64歳には1,500ドルです。そのお金は保険料には使えませんが、自己負担金や市販薬など、他の種類の医療費には使えます。|$1,000 for people under age 50^Noun Phrase^core^50歳未満の人には1000ドル|and $1,500 for people between 50 and 64^Noun Phrase^connector^そして50歳から64歳の人には1500ドル|That money could not go towards premiums^S+V+Prep^core^そのお金は保険料には向けられません|but it could go^Conjunction+S+V^connector^しかしそれは行く（使われる）可能性があります|to other kinds of health expenses^Prep Phrase^modifier^他の種類の医療費へ|like co-pays or over-the-counter medications^Prep Phrase^modifier^自己負担金や市販薬のような
48|00:05:20.305|The bill would also prohibit abortion coverage in Obamacare and prevent Medicaid from covering gender-affirming care.|この法案はまた、オバマケアでの中絶の補償を禁止し、メディケイドがジェンダー肯定ケアをカバーすることを阻止するものです。|The bill would also prohibit^S+V^core^その法案はまた禁止するでしょう|abortion coverage in Obamacare^Object^core^オバマケアでの中絶補償を|and prevent Medicaid^Conjunction+V+O^core^そしてメディケイドを阻止します|from covering gender-affirming care^Prep Phrase^modifier^ジェンダー肯定ケアをカバーすることから||
49|00:05:26.860|I asked Ellen Allen what she thought of the Republican health savings account, and this is what she said.|エレン・アレンさんに共和党の医療貯蓄口座についてどう思うか尋ねたところ、彼女はこう答えました。|I asked Ellen Allen^S+V+O^core^私はエレン・アレンに尋ねました|what she thought^Noun Clause^core^彼女がどう思ったか|of the Republican health savings account^Prep Phrase^modifier^共和党の医療貯蓄口座について|and this is what she said^Conjunction+S+V+C^connector^そしてこれが彼女が言ったことです||
50|00:05:31.860|$1,000 or $1,500. I mean, I understand that's not a monthly fund. Correct.|1,000ドルか1,500ドル。つまり、それは月額の資金ではないということですよね。その通りです。|$1,000 or $1,500^Noun Phrase^core^1000ドルか1500ドル|I mean, I understand^S+V^core^つまり私は理解しています|that's not a monthly fund^Noun Clause^core^それは月ごとの資金ではないと|Correct^Adjective^connector^正しい（その通り）||
51|00:05:36.529|Yeah, that's nothing. That is not, that's insulting. I mean, how stupid do they think the American people are?|ええ、それは無に等しいです。いや、それは侮辱です。一体彼らはアメリカ国民をどれだけ愚かだと思っているのでしょうか？|Yeah, that's nothing^S+V+C^core^ええ、それは何ものでもない（無意味だ）|That is not, that's insulting^S+V+C^core^そうじゃなくて、それは侮辱的です|I mean^Filler^connector^つまり|how stupid do they think^Wh-Question^core^彼らはどれほど愚かだと思っているのか|the American people are?^S+V^core^アメリカの人々が（あると）||
52|00:05:42.473|Okay, that plan does seem to fit with what President Trump has said he wants, though, sending money to people but not the insurance companies.|なるほど、でもその計画は、保険会社ではなく人々に直接お金を送るという、トランプ大統領が望んでいることと一致しているようですね。|Okay, that plan does seem to fit^S+V^core^なるほど、その計画は合致しているようです|with what President Trump has said he wants^Prep Phrase^modifier^トランプ大統領が望むと言ったことと|though^Conjunction^connector^～だけれども|sending money to people^Participle Phrase^modifier^人々にお金を送ること（は）|but not the insurance companies^Phrase^modifier^しかし保険会社ではなく||
53|00:05:49.480|True, but Republicans would be putting way less taxpayer money into it, about $10 billion into health savings accounts versus approximately $35 billion towards enhanced subsidies.|その通りですが、共和党はそこに投入する税金を大幅に減らすことになります。拡充された補助金への約350億ドルに対し、医療貯蓄口座へは約100億ドルです。|True^Adjective^connector^その通り|but Republicans would be putting^S+V^core^しかし共和党は投入することになるでしょう|way less taxpayer money into it^O+Prep^core^はるかに少ない税金をそこへ|about $10 billion into health savings accounts^Noun Phrase^modifier^医療貯蓄口座への約100億ドル|versus approximately $35 billion^Prep Phrase^modifier^対して約350億ドル|towards enhanced subsidies^Prep Phrase^modifier^拡充された補助金に向けた|
54|00:06:01.105|So it's not just a different delivery system, it's also a big funding cut. What are you expecting to happen today?|つまり、単に提供システムが違うだけでなく、大幅な資金削減でもあるわけですね。今日は何が起きると予想していますか？|So it's not just a different delivery system^S+V+C^core^つまりそれは単に異なる提供システムではありません|it's also a big funding cut^S+V+C^core^それは大幅な資金削減でもあります|What are you expecting to happen^Wh-Question^core^あなたは何が起きると予想していますか|today?^Adverb^modifier^今日||
55|00:06:07.024|While there is a super small Republican majority in the Senate and these bills would need 60 votes to pass, neither side is likely to reach that threshold, which is not good for people who are navigating open enrollment right now and we're hoping for some relief.|上院の共和党の過半数はごく僅差であり、これらの法案の可決には60票が必要ですが、どちらの側もその基準に達する可能性は低いです。これは、現在公開登録を行っており、救済を望んでいた人々にとって良いことではありません。|While there is a super small Republican majority^Conjunction+S+V+S^connector^ごく僅差の共和党過半数がある一方で|in the Senate^Prep Phrase^modifier^上院に|and these bills would need 60 votes to pass^Conjunction+S+V+O^connector^そしてこれらの法案は可決に60票を必要とする（一方で）|neither side is likely to reach that threshold^S+V+O^core^どちらの側もその閾値に達しそうにありません|which is not good for people^Relative Clause^connector^（それは）人々にとって良くありません|who are navigating open enrollment right now^Relative Clause^modifier^今まさに公開登録を行っている（人々）
56|00:06:21.057|Polling suggests these enhanced subsidies are quite popular across party lines, so Congress may keep working on this. I do not think that these votes today are going to be the end of the story.|世論調査によると、これらの拡充された補助金は党派を超えてかなり人気があるため、議会はこれに取り組み続けるかもしれません。今日の投票がこの話の終わりになるとは思えません。|Polling suggests^S+V^core^世論調査は示唆しています|these enhanced subsidies are quite popular^S+V+C^core^これらの拡充された補助金がかなり人気であることを|across party lines^Prep Phrase^modifier^党派を超えて|so Congress may keep working on this^Conjunction+S+V^connector^だから議会はこれに取り組み続けるかもしれません|I do not think^S+V^core^私は思いません|that these votes today are going to be the end of the story^Noun Clause^core^今日のこれらの投票が話の終わりになるとは|
57|00:06:31.206|That is NPR's Selena Simmons-Duffin. Selena, thank you. You're welcome.|NPRのセレナ・シモンズ＝ダフィンでした。セレナ、ありがとう。どういたしまして。|That is NPR's Selena Simmons-Duffin^S+V+C^core^（以上は）NPRのセレナ・シモンズ＝ダフィンでした|Selena, thank you^Expression^connector^セレナ、ありがとう|You're welcome^Expression^connector^どういたしまして|||
58|00:06:42.182|It's getting a little cheaper to borrow money. The Federal Reserve voted to cut interest rates by a quarter percentage point, a decision the Fed chairman described as a close call.|お金を借りるのが少し安くなっています。連邦準備制度理事会（FRB）は金利を0.25%引き下げることを投票で決定しましたが、FRB議長はこの決定を「際どい判断」だったと説明しています。|It's getting a little cheaper^S+V+C^core^少し安くなってきています|to borrow money^Infinitive^modifier^お金を借りることが|The Federal Reserve voted to cut interest rates^S+V+Infinitive^core^FRBは金利を引き下げることを投票しました|by a quarter percentage point^Prep Phrase^modifier^0.25パーセントポイント|a decision the Fed chairman described^Noun Phrase+Relative Clause^core^（それは）FRB議長が描写した決定です|as a close call^Prep Phrase^modifier^「際どい判断（接戦）」として
59|00:06:51.995|And there was unusual disagreement among Fed policymakers. Investors were relieved by the move. The Dow Jones Industrial Average jumped nearly 500 points.|そして、FRBの政策立案者の間では珍しく意見の不一致がありました。投資家はこの動きに安堵しました。ダウ工業株30種平均は500ポイント近く急騰しました。|And there was unusual disagreement^Conjunction+There+V+S^core^そして珍しい不一致がありました|among Fed policymakers^Prep Phrase^modifier^FRB政策立案者の間で|Investors were relieved^S+V^core^投資家は安堵しました|by the move^Prep Phrase^modifier^その動きによって|The Dow Jones Industrial Average jumped^S+V^core^ダウ工業株平均は急騰しました|nearly 500 points^Adverb^modifier^500ポイント近く
