ID|タイムスタンプ|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4|チャンク5|チャンク6
13|00:01:34.265|They're fusing this idea that business should not be something which follows a peace deal, but something which should be integrated into the negotiation itself.|彼らは、ビジネスは和平協定の後に続くものではなく、交渉そのものに統合されるべきだという考えを融合させています。|They're fusing this idea^S+V+O^core^彼らはこの考えを融合させています|that business should not be something^Noun Clause^connector^ビジネスは（～な）ものであるべきではないという|which follows a peace deal^Rel Clause^connector^和平協定に続く（もの）|but something^Conjunction^connector^しかし（～な）ものであるべきだと|which should be integrated^Rel Clause^connector^統合されるべき|into the negotiation itself^Prep Phrase^modifier^交渉そのものの中に
14|00:01:44.534|Over the past few months, Joe and Drew, along with a team of Wall Street Journal reporters, have been investigating the Trump administration's approach to negotiations between Russia and Ukraine.|過去数ヶ月間、ジョーとドリューはウォール・ストリート・ジャーナルの記者チームと共に、ロシア・ウクライナ間の交渉に対するトランプ政権のアプローチを調査してきました。|Over the past few months^Time Phrase^modifier^過去数ヶ月にわたり|Joe and Drew have been investigating^S+V^core^ジョーとドリューは調査してきました|along with a team of reporters^Prep Phrase^modifier^記者チームと共に|the Trump administration's approach^Object^core^トランプ政権のアプローチを|to negotiations^Prep Phrase^modifier^交渉に対する|between Russia and Ukraine^Prep Phrase^modifier^ロシアとウクライナ間の
15|00:01:54.900|And what they found was a dramatic shift in U.S. diplomatic strategy, particularly when it comes to relations with the Kremlin.|そして彼らが見つけたのは、特にクレムリン（ロシア政府）との関係における、米国外交戦略の劇的な転換でした。|And^Conjunction^connector^そして|what they found was^S+V^core^彼らが見つけたのは～でした|a dramatic shift^Complement^core^劇的な転換|in U.S. diplomatic strategy^Prep Phrase^modifier^米国の外交戦略における|particularly^Adverb^modifier^特に|when it comes to relations^Idiom^modifier^関係に関しては|with the Kremlin^Prep Phrase^modifier^クレムリンとの
16|00:02:02.563|We spoke to dozens of officials over months. We spoke to diplomats.|私たちは数ヶ月にわたり何十人もの当局者と話しました。外交官とも話しました。|We spoke to^S+V^core^私たちは話を聞きました|dozens of officials^Object^core^何十人もの当局者に|over months^Time Phrase^modifier^数ヶ月にわたって|We spoke to diplomats^S+V+O^core^私たちは外交官とも話しました||
17|00:02:06.186|We spoke to former and current intelligence officers from the U.S., Russia, Europe.|米国、ロシア、ヨーロッパの元および現役の諜報機関員とも話しました。|We spoke to^S+V^core^私たちは話を聞きました|former and current intelligence officers^Object^core^元および現役の諜報機関員に|from the U.S., Russia, Europe^Prep Phrase^modifier^米国、ロシア、ヨーロッパからの|||
18|00:02:10.451|We spoke to lobbyists who are representing the businesses that want to step into a post-peace Russia.|平和が訪れた後のロシアに進出したい企業を代表するロビイストたちとも話しました。|We spoke to lobbyists^S+V+O^core^私たちはロビイストと話しました|who are representing the businesses^Rel Clause^connector^企業を代表している|that want to step into^Rel Clause^connector^進出したがっている|a post-peace Russia^Object^core^平和後のロシアへ||
19|00:02:15.818|And the picture that they paint is really a remarkable story of business leaders working outside the traditional lines of diplomacy to try and cement a peace agreement with business deals.|彼らが描く全体像は、ビジネスリーダーたちが従来の外交ルートの外で動き、ビジネス取引によって和平合意を固めようとする、実に驚くべき物語です。|And the picture that they paint is^S+V^core^そして彼らが描く全体像は～です|really a remarkable story^Complement^core^実に驚くべき物語|of business leaders working^Prep Phrase^modifier^ビジネスリーダーたちが動いているという|outside the traditional lines of diplomacy^Prep Phrase^modifier^従来の外交路線の外側で|to try and cement a peace agreement^Infinitive^modifier^和平合意を固めようとして|with business deals^Prep Phrase^modifier^ビジネス取引で
20|00:02:28.951|The Trump administration is approaching this peace process like a chapter out of Art of the Deal.|トランプ政権は、この和平プロセスに『トランプ自伝（Art of the Deal）』の一章のようにアプローチしています。|The Trump administration is approaching^S+V^core^トランプ政権はアプローチしています|this peace process^Object^core^この和平プロセスに|like a chapter^Prep Phrase^modifier^まるで一章のように|out of Art of the Deal^Prep Phrase^modifier^『トランプ自伝』からの||
21|00:02:34.537|The thinking is, we're going to come in there, we're going to settle this war and make sure that American companies benefit.|その考えとは、「我々がそこに乗り込み、戦争を解決し、確実にアメリカ企業が利益を得られるようにする」というものです。|The thinking is^S+V^core^その考えとは～です|we're going to come in there^S+V^core^我々はそこに乗り込み|we're going to settle this war^S+V+O^core^我々はこの戦争を解決し|and make sure^Verb^core^そして確実に～する|that American companies benefit^Noun Clause^connector^アメリカ企業が利益を得ることを|
22|00:02:41.548|They see the enmeshment of business interests as a way of securing peace, a way of people making money together rather than making war.|彼らはビジネス上の利害関係を絡ませることを、平和を確保する手段、つまり戦争をする代わりに共にお金を稼ぐ手段として見ています。|They see the enmeshment^S+V+O^core^彼らは（利害の）網羅・絡み合いを～と見ています|of business interests^Prep Phrase^modifier^ビジネス上の利害の|as a way of securing peace^Prep Phrase^modifier^平和を確保する手段として|a way of people making money together^Apposition^core^人々が共にお金を稼ぐ手段（として）|rather than making war^Prep Phrase^modifier^戦争をする代わりに|
23|00:02:49.704|Welcome to The Journal, our show about money, business and power. I'm Jessica Mendoza. It's Friday, December 5th.|『ザ・ジャーナル』へようこそ。これはお金、ビジネス、そして権力に関する番組です。ジェシカ・メンドーサです。今日は12月5日金曜日です。|Welcome to The Journal^Greeting^core^『ザ・ジャーナル』へようこそ|our show about money, business and power^Apposition^modifier^お金、ビジネス、権力に関する我々の番組|I'm Jessica Mendoza^S+V+C^core^私はジェシカ・メンドーサです|It's Friday, December 5th^S+V+C^core^今日は12月5日金曜日です||
24|00:03:07.228|Coming up on the show, inside the U.S.'s new Russia strategy, peace through business.|この後の番組では、米国の新しい対ロシア戦略、「ビジネスを通じた平和」の内幕に迫ります。|Coming up on the show^Idiom^modifier^この後の番組では（登場するのは）|inside the U.S.'s new Russia strategy^Prep Phrase^modifier^米国の新ロシア戦略の内幕|peace through business^Noun Phrase^core^ビジネスを通じた平和|||
25|00:03:24.044|[Ad] This episode is brought to you by U.S. Bank. Visit usbank.com to learn more.|[広告] このエピソードはU.S. Bankの提供でお送りします。詳細はusbank.comをご覧ください。|[Ad]^Tag^modifier^（広告）|This episode is brought to you^S+V^core^このエピソードは届けられます|by U.S. Bank^Prep Phrase^modifier^U.S. Bankによって|||
26|00:03:52.192|[Ad] This episode is brought to you by AARP. Learn more at aarp.org slash skills.|[広告] このエピソードはAARPの提供でお送りします。詳細はaarp.org/skillsをご覧ください。|[Ad]^Tag^modifier^（広告）|This episode is brought to you^S+V^core^このエピソードは届けられます|by AARP^Prep Phrase^modifier^AARPによって|||
27|00:04:13.342|Drew, can you talk to me about how this new diplomatic strategy came to be?|ドリュー、この新しい外交戦略がどのようにして生まれたのか話してもらえますか？|Drew, can you talk to me^S+V^core^ドリュー、私に話してくれますか|about how this new diplomatic strategy came to be^Prep Phrase^modifier^この新外交戦略がいかにして生まれたかについて||||
28|00:04:18.639|The core of these meetings and of this entire peace process has been a two-man relationship between Steve Witkoff and Kirill Dmitriev.|これらの会議、そしてこの和平プロセス全体の核心は、スティーブ・ウィトコフとキリル・ドミトリエフという2人の関係にありました。|The core of these meetings^S+Part^core^これらの会議の核心は|and of this entire peace process^Prep Phrase^modifier^そしてこの和平プロセス全体の（核心は）|has been a two-man relationship^V+C^core^2人の人間の関係でした|between Steve Witkoff and Kirill Dmitriev^Prep Phrase^modifier^スティーブ・ウィトコフとキリル・ドミトリエフの間の||
29|00:04:27.682|The Russians from the very beginning wanted to deal with Witkoff.|ロシア側は当初からウィトコフとの取引を望んでいました。|The Russians^Subject^core^ロシア側は|from the very beginning^Time Phrase^modifier^極めて初期の段階から|wanted to deal^S+V^core^取引することを望んでいました|with Witkoff^Prep Phrase^modifier^ウィトコフと||
30|00:04:32.067|Witkoff, Trump's billionaire friend and golfing partner, wasn't the most obvious choice.|トランプの友人で億万長者、そしてゴルフ仲間であるウィトコフは、最も明白な人選ではありませんでした。|Witkoff^Subject^core^ウィトコフは|Trump's billionaire friend and golfing partner^Apposition^modifier^トランプの友人の億万長者でゴルフ仲間である|wasn't the most obvious choice^V+C^core^最も明白な選択肢ではありませんでした|||
31|00:04:37.653|The president had originally appointed a former lieutenant general to lead the talks with Russia, but the Russians didn't want to work with him.|大統領は当初、元中将をロシアとの協議のリーダーに任命していましたが、ロシア側は彼との協力を望みませんでした。|The president had originally appointed^S+V+O^core^大統領は当初任命していました|a former lieutenant general^Object^core^ある元中将を|to lead the talks with Russia^Infinitive^modifier^ロシアとの協議を主導するために|but the Russians didn't want to work^S+V^core^しかしロシア側は働くことを望みませんでした|with him^Prep Phrase^modifier^彼と共に|
32|00:04:45.177|So in February, they reached out and hosted Steve Witkoff in the Kremlin.|そこで2月、彼らは接触を図り、スティーブ・ウィトコフをクレムリンに招待しました。|So in February^Conjunction^connector^そこで2月に|they reached out and hosted^S+V+O^core^彼らは連絡を取り招待しました|Steve Witkoff^Object^core^スティーブ・ウィトコフを|in the Kremlin^Prep Phrase^modifier^クレムリン（ロシア大統領府）に||
33|00:04:49.396|Putin sits with him for hours. He flies home with an American prisoner.|プーチンは彼と何時間も同席しました。そして彼はアメリカ人の囚人と共に帰国したのです。|Putin sits with him^S+V^core^プーチンは彼と同席しました|for hours^Time Phrase^modifier^何時間も|He flies home^S+V^core^彼は帰国しました（飛びました）|with an American prisoner^Prep Phrase^modifier^アメリカ人の囚人と共に||
34|00:04:54.360|It's a real moment where Russia is saying, hey, if you work with us, we can do things together.|これはロシアが「おい、もし我々と協力するなら、一緒に物事ができるぞ」と言っている、まさに真実の瞬間です。|It's a real moment^S+V+C^core^それは真実の（重要な）瞬間です|where Russia is saying^Rel Clause^connector^ロシアが～と言っている（場面）|hey, if you work with us^Condition^modifier^「おい、もし我々と協力するなら|we can do things together^S+V+O^core^我々は一緒に物事ができるぞ」と||
35|00:04:58.863|At that moment, Witkoff starts to take over the Russia portfolio.|その瞬間から、ウィトコフはロシア担当の役割を引き継ぎ始めます。|At that moment^Time Phrase^modifier^その瞬間に|Witkoff starts to take over^S+V^core^ウィトコフは引き継ぎ始めます|the Russia portfolio^Object^core^ロシアのポートフォリオ（担当案件）を|||
36|00:05:03.653|Following that meeting, Witkoff, whose official title is Special Envoy to the Middle East, became increasingly involved in negotiations with Russia.|その会談の後、公式な肩書きは「中東特使」であるウィトコフは、ロシアとの交渉にますます関与するようになりました。|Following that meeting^Prep Phrase^modifier^その会談に続いて|Witkoff became increasingly involved^S+V+C^core^ウィトコフはますます関与するようになりました|whose official title is Special Envoy^Rel Clause^connector^公式な肩書きは特使である（彼が）|to the Middle East^Prep Phrase^modifier^中東への|in negotiations with Russia^Prep Phrase^modifier^ロシアとの交渉に|
37|00:05:11.819|Witkoff's counterpart, Kirill Dmitriev, is a Russian investment banker with degrees from Harvard and Stanford.|ウィトコフの交渉相手であるキリル・ドミトリエフは、ハーバードとスタンフォードで学位を取得したロシアの投資銀行家です。|Witkoff's counterpart, Kirill Dmitriev^Subject^core^ウィトコフの相手方、キリル・ドミトリエフは|is a Russian investment banker^V+C^core^ロシアの投資銀行家です|with degrees^Prep Phrase^modifier^学位を持った|from Harvard and Stanford^Prep Phrase^modifier^ハーバードとスタンフォードからの||
38|00:05:18.187|Like Witkoff, Dmitriev isn't part of the Foreign Service establishment. But the two spoke the same language, business.|ウィトコフ同様、ドミトリエフも外務省の主流派ではありません。しかし、2人は同じ言語、すなわち「ビジネス」を話しました。|Like Witkoff^Prep Phrase^modifier^ウィトコフのように|Dmitriev isn't part^S+V+C^core^ドミトリエフは一員ではありません|of the Foreign Service establishment^Prep Phrase^modifier^外務省のエスタブリッシュメント（主流派組織）の|But the two spoke^S+V^core^しかし2人は話しました|the same language, business^Object^core^同じ言語、「ビジネス」を|
39|00:05:27.920|Not long after, Witkoff's office requested to meet with Dmitriev in Washington.|それから間もなく、ウィトコフのオフィスはワシントンでドミトリエフと会うことを要請しました。|Not long after^Time Phrase^modifier^それから間もなく|Witkoff's office requested to meet^S+V^core^ウィトコフの事務所は会うことを要請しました|with Dmitriev^Prep Phrase^modifier^ドミトリエフと|in Washington^Prep Phrase^modifier^ワシントンで||
40|00:05:32.985|The thing about Dmitriev is he's under sanctions. The Treasury Department sanctioned him in 2022 for leading Russia's sovereign wealth fund.|ドミトリエフの問題点は、彼が制裁下にあるということです。財務省は、ロシアの国富ファンドを率いているとして、2022年に彼に制裁を科しました。|The thing about Dmitriev is^S+V^core^ドミトリエフに関する問題は～です|he's under sanctions^Clause^core^彼が制裁下にあるということ|The Treasury Department sanctioned him^S+V+O^core^財務省は彼を制裁しました|in 2022^Time Phrase^modifier^2022年に|for leading Russia's sovereign wealth fund^Prep Phrase^modifier^ロシアの国富ファンドを率いたとして|
41|00:05:46.154|This guy's effectively persona non grata in America. And if he's going to visit, the Treasury Department has to lift sanctions on him effectively.|この男はアメリカでは事実上「ペルソナ・ノン・グラータ（好ましくない人物）」です。もし彼が訪問するなら、財務省は事実上、彼への制裁を解除しなければなりません。|This guy's effectively persona non grata^S+V+C^core^この男は事実上「ペルソナ・ノン・グラータ」です|in America^Prep Phrase^modifier^アメリカにおいて|And if he's going to visit^Condition^connector^そしてもし彼が訪問するなら|the Treasury Department has to lift sanctions^S+V+O^core^財務省は制裁を解除しなければなりません|on him effectively^Prep Phrase^modifier^彼に対して事実上|
42|00:05:55.468|At first, Treasury Secretary Scott Besant had questions about the unique request. But the president had told Witkoff he wanted the war to end.|当初、スコット・ベサント財務長官はこの異例の要請に疑問を持っていました。しかし大統領はウィトコフに「戦争を終わらせたい」と伝えていました。|At first^Time Phrase^modifier^当初|Treasury Secretary Scott Besant had questions^S+V+O^core^スコット・ベサント財務長官は疑問を持っていました|about the unique request^Prep Phrase^modifier^そのユニークな（異例の）要請について|But the president had told Witkoff^S+V+O^core^しかし大統領はウィトコフに伝えていました|he wanted the war to end^Noun Clause^core^戦争が終わることを望んでいると|
43|00:06:06.064|So the administration decided that it was worth the risk. Dmitriev comes to the U.S. in April.|そのため政権はリスクを冒す価値があると判断しました。ドミトリエフは4月に米国を訪れました。|So the administration decided^S+V^core^それで政権は判断しました|that it was worth the risk^Noun Clause^connector^それはリスクに見合う価値があると|Dmitriev comes to the U.S.^S+V^core^ドミトリエフは米国に来ます|in April^Time Phrase^modifier^4月に||
44|00:06:11.598|He's presenting a fantastic range of opportunities, as he would put it, for U.S. companies.|彼は、彼自身の言葉を借りれば「素晴らしい機会の数々」を米国企業に提示しています。|He's presenting^S+V^core^彼は提示しています|a fantastic range of opportunities^Object^core^素晴らしい範囲の機会を|as he would put it^Parenthesis^modifier^彼が言うところの（彼の言葉によれば）|for U.S. companies^Prep Phrase^modifier^米国企業のために||
45|00:06:18.083|What kind of opportunities are we talking about here? Joe, do you want to take this one?|ここではどのような機会について話しているのですか？ジョー、答えてくれますか？|What kind of opportunities^Wh-Question^core^どのような種類の機会を|are we talking about here?^V+S^core^我々はここで話しているのですか？|Joe, do you want to take this one?^S+V+O^core^ジョー、これ（この質問）を引き受けますか？|||
46|00:06:23.379|Russia is known across the world for its massive oil and natural gas and mineral wealth.|ロシアはもちろん、その莫大な石油、天然ガス、そして鉱物資源で世界中に知られています。|Russia is known^S+V^core^ロシアは知られています|across the world^Prep Phrase^modifier^世界中で|for its massive oil and natural gas^Prep Phrase^modifier^その莫大な石油と天然ガス|and mineral wealth^Noun Phrase^modifier^そして鉱物資源（の富）で||
47|00:06:37.468|The Trump administration sees two things as key to the U.S. economy and global growth: energy and minerals, particularly rare earths.|トランプ政権は、米国経済と世界の成長にとって重要な2つの要素を見ています。エネルギー、そして鉱物、特にレアアースです。|The Trump administration sees two things^S+V+O^core^トランプ政権は2つのことを見ています|as key to the U.S. economy^Prep Phrase^modifier^米国経済にとっての鍵として|and global growth^Noun Phrase^modifier^そして世界的成長（の鍵として）|energy and minerals^Apposition^core^（それは）エネルギーと鉱物です|particularly rare earths^Noun Phrase^modifier^特にレアアース（希土類）|
48|00:06:48.892|Dmitriev clearly understood that, and because he spoke the language of business, he was able to lay out a buffet of options.|ドミトリエフはそれを明確に理解しており、ビジネスの言語を話せるからこそ、選択肢の「ビュッフェ」を並べることができたのです。|Dmitriev clearly understood that^S+V+O^core^ドミトリエフはそれを明確に理解していました|and because he spoke^Conjunction^connector^そして彼が話したがゆえに|the language of business^Object^core^ビジネスの言語を|he was able to lay out^S+V^core^彼は並べる（提示する）ことができました|a buffet of options^Object^core^選択肢のビュッフェを
49|00:07:04.377|He showed how Russia's energy might begin to flow back into Europe and other world markets.|彼は、ロシアのエネルギーがどのように再びヨーロッパや他の世界市場に流れ込むことができるかを示しました。|He showed^S+V^core^彼は示しました|how Russia's energy might begin to flow back^Noun Clause^core^いかにロシアのエネルギーが再び流れ込み始めるかを|into Europe^Prep Phrase^modifier^ヨーロッパの中へ|and other world markets^Noun Phrase^modifier^そして他の世界市場へ||
50|00:07:10.408|And it seems like that pitch resonated from the beginning.|そして、その売り込み（ピッチ）は当初から響いたようです。|And it seems like^S+V^connector^そして～のように見えます|that pitch resonated^S+V^core^そのピッチ（提案）が共鳴した|from the beginning^Time Phrase^modifier^最初から|||
51|00:07:14.110|Dmitriev even says that Russia and the United States, who competed to get to the moon, this time can cooperate together and help Elon Musk reach Mars.|ドミトリエフは、かつて月への到達を競ったロシアと米国が、今回は協力してイーロン・マスクの火星到達を助けることができるとさえ言っています。|Dmitriev even says that^S+V^connector^ドミトリエフは～とさえ言っています|Russia and the United States^Subject^core^ロシアと合衆国は|who competed to get to the moon^Rel Clause^connector^月へ行くことを競った（両国が）|this time can cooperate together^S+V^core^今回は共に協力できる|and help Elon Musk reach Mars^Verb Phrase^core^そしてイーロン・マスクが火星に着くのを助ける（ことができると）|
52|00:07:27.665|He told us we can take this relationship of business trust and move it to a relationship of political trust, solving this geopolitical problem.|彼は私たちに言いました。「このビジネス上の信頼関係を政治的な信頼関係へと移行させ、この地政学的な問題を解決できる」と。|He told us^S+V^core^彼は我々に言いました|we can take this relationship of business trust^S+V+O^core^我々はこのビジネスの信頼関係を取り|and move it^Verb^core^それを移行させることができる|to a relationship of political trust^Prep Phrase^modifier^政治的な信頼関係へと|solving this geopolitical problem^Participle Phrase^modifier^この地政学的な問題を解決しながら|
53|00:07:43.288|As Witkoff and Dmitriev continued to meet, business leaders in both the U.S. and Russia were taking note.|ウィトコフとドミトリエフが会談を続ける中、米国とロシア双方のビジネスリーダーたちが注目していました。|As Witkoff and Dmitriev continued to meet^Adv Clause^modifier^ウィトコフとドミトリエフが会談し続けるにつれ|business leaders in both the U.S. and Russia^Subject^core^米露双方のビジネスリーダーたちは|were taking note^S+V^core^注目していました（メモを取っていました）|||
54|00:07:51.928|They were quietly positioning their companies to profit if a peace deal came through.|彼らは、もし和平協定が成立した場合に利益を得られるよう、密かに自社を位置づけていました。|They were quietly positioning their companies^S+V+O^core^彼らは静かに自社を位置づけていました|to profit^Infinitive^modifier^利益を得るために|if a peace deal came through^Condition^connector^もし和平協定が成立したならば|||
55|00:07:56.425|This is not the 1990s where McDonald's can't wait to get into Moscow. It's a relatively small pool of people looking closely at huge energy assets.|これはマクドナルドがモスクワ進出を待ちきれなかった90年代とは違います。巨大なエネルギー資産を注視している、比較的少数の人々です。|This is not the 1990s^S+V+C^core^これは90年代ではありません|where McDonald's can't wait^Rel Clause^connector^マクドナルドが待ちきれない（ような）|to get into Moscow^Infinitive^modifier^モスクワに入るのを|It's a relatively small pool of people^S+V+C^core^それは比較的小さなグループの人々です|looking closely at huge energy assets^Participle Phrase^modifier^巨大なエネルギー資産を詳しく見ている|
56|00:08:13.153|A really good example is Gentry Beach, an investor from Texas who was a groomsman at Donald Trump Jr.'s wedding.|実に良い例がジェントリー・ビーチです。テキサスの投資家で、ドナルド・トランプ・ジュニアの結婚式で付添人を務めた人物です。|A really good example is Gentry Beach^S+V+C^core^実に良い例はジェントリー・ビーチです|an investor from Texas^Apposition^modifier^テキサス出身の投資家である|who was a groomsman^Rel Clause^connector^（彼は）花婿付添人でした|at Donald Trump Jr.'s wedding^Prep Phrase^modifier^ドナルド・トランプJr.の結婚式で||
57|00:08:26.970|Beach has been in talks to acquire a stake in a Russian Arctic gas project with a company called Novatek.|ビーチは、「ノバテク」と呼ばれる企業のロシア北極圏ガスプロジェクトの権益を取得するための協議を行っています。|Beach has been in talks^S+V^core^ビーチは協議を行っています|to acquire a stake^Infinitive^modifier^権益（株式）を取得するために|in a Russian Arctic gas project^Prep Phrase^modifier^ロシアの北極ガスプロジェクトにおける|with a company called Novatek^Prep Phrase^modifier^ノバテクと呼ばれる会社との||
58|00:08:33.437|Novatek is partly owned by a Russian billionaire who's very close to Putin. That deal is dependent on the U.S. and U.K. removing sanctions.|ノバテクはプーチンに非常に近いロシアの億万長者が一部所有しています。その取引は、米国と英国が制裁を解除することにかかっています。|Novatek is partly owned^S+V^core^ノバテクは部分的に所有されています|by a Russian billionaire^Prep Phrase^modifier^あるロシアの億万長者によって|who's very close to Putin^Rel Clause^connector^プーチンに非常に近い|That deal is dependent on^S+V^core^その取引は～に依存しています|the U.S. and U.K. removing sanctions^Gerund Phrase^core^米英が制裁を解除すること（に）|
59|00:08:51.039|In a statement, Beach said that partnering with Novatek would strongly benefit any company committed to advancing American energy leadership.|声明の中でビーチは、ノバテクとの提携は、米国のエネルギー主導権の推進に取り組むあらゆる企業に大きな利益をもたらすと述べました。|In a statement^Prep Phrase^modifier^声明の中で|Beach said that^S+V^core^ビーチは～と言いました|partnering with Novatek^Gerund^core^ノバテクと提携することは|would strongly benefit any company^S+V+O^core^どんな企業にも強く利益をもたらすだろう|committed to advancing^Participle Phrase^modifier^推進することにコミットした（企業に）|American energy leadership^Object^core^アメリカのエネルギーリーダーシップを
60|00:08:59.381|Trump Jr. has told people he isn't doing business with Beach. But you're seeing different categories of investors.|トランプ・ジュニアは周囲に「ビーチとはビジネスをしていない」と語っています。しかし、様々なカテゴリーの投資家が見受けられます。|Trump Jr. has told people^S+V+O^core^トランプJr.は人々に話しました|he isn't doing business^Noun Clause^core^彼はビジネスをしていないと|with Beach^Prep Phrase^modifier^ビーチと|But you're seeing^S+V+O^core^しかしあなたは見ています|different categories of investors^Object^core^異なるカテゴリーの投資家たちを|
